Iteration,Min,Max,Average,Std. Dev.
0,3.069,10.866,5.865,2.309745427909875
1,3.069,10.866,5.865,2.309745427909875
2,3.068,10.849,5.851,2.3043704570060726
3,3.026,10.75,5.808,2.28771706500894
4,2.974,10.713,5.75,2.294284493196978
5,2.95,10.634,5.702,2.2815717175123567
6,2.91,10.57,5.63,2.2566741566110813
7,2.895,10.45,5.514,2.2104561466074886
8,2.822,10.014,5.387,2.10917265192188
9,2.813,9.662,5.242,2.0104205577490655
10,2.657,8.93,5.041,1.8187899092656776
11,2.447,8.809,4.918,1.8019662931398184
12,2.382,8.734,4.734,1.755989949397049
13,2.181,8.703,4.615,1.7817725367412685
14,2.154,8.443,4.514,1.743459901409295
15,2.119,8.368,4.382,1.7164252121398753
16,2.07,7.953,4.169,1.6159348655829935
17,2.053,7.177,3.952,1.3918448470716485
18,2.044,7.053,3.699,1.3384297984838482
19,2.037,6.966,3.475,1.3329111871014814
20,2.047,6.693,3.204,1.2822960919438795
21,2.249,6.145,3.067,1.1162596504292048
22,2.39,4.658,2.923,0.6697033667660096
23,2.344,3.375,2.702,0.3724634082458238
24,2.305,3.151,2.543,0.26386242786655845
25,2.197,2.534,2.386,0.12413804552802558
26,1.981,2.409,2.186,0.1194483532134999
27,1.904,2.151,2.011,0.0733747518779249
28,1.806,2.133,1.948,0.10183840142811595
29,1.774,2.081,1.863,0.10557866023764814
30,1.617,1.96,1.773,0.10430125047328666
31,1.539,1.977,1.685,0.13798747772848124
32,1.526,1.72,1.581,0.06066497264675999
33,1.497,1.867,1.559,0.11249100867280043
34,1.497,1.961,1.654,0.15654304720985476
35,1.497,1.849,1.563,0.1094359844358833
36,1.497,1.761,1.549,0.07897279069936704
37,1.496,1.75,1.546,0.07828495066393049
38,1.496,1.594,1.509,0.030069435544689497
39,1.497,1.576,1.535,0.029517360176885044
40,1.496,1.674,1.539,0.056169992894588884
41,1.501,1.613,1.54,0.04092797979387451
42,1.496,1.807,1.544,0.09410928988997007
43,1.496,1.785,1.546,0.08925701257553284
44,1.496,1.729,1.564,0.08414138420846001
45,1.496,1.843,1.582,0.12114179454543353
46,1.498,1.732,1.551,0.07097250209889874
47,1.496,1.532,1.509,0.012356987872255034
48,1.496,1.616,1.525,0.04103747797958793
49,1.496,1.598,1.511,0.03130918603986674
