Iteration,Min,Max,Average,Std. Dev.
0,3.069,10.866,5.865,2.309745427909875
1,3.069,10.866,5.865,2.309745427909875
2,3.069,10.851,5.853,2.305268336030528
3,3.036,10.774,5.82,2.2921033602819016
4,2.996,10.746,5.775,2.2971596437883655
5,2.978,10.688,5.74,2.2880687710243146
6,2.949,10.642,5.687,2.2705490814579705
7,2.938,10.559,5.606,2.238313158729948
8,2.888,10.258,5.517,2.1695855745134187
9,2.881,10.019,5.418,2.1024737556551685
10,2.773,9.523,5.281,1.9716103690029319
11,2.621,9.441,5.196,1.960630418292204
12,2.572,9.392,5.071,1.925428193896383
13,2.406,9.372,4.989,1.9481164036571443
14,2.38,9.203,4.92,1.9263400690295067
15,2.34,9.154,4.832,1.9108375050431479
16,2.28,8.892,4.691,1.8541106318089995
17,2.24,8.399,4.545,1.7223187098121342
18,2.211,8.32,4.373,1.6834173837010804
19,2.159,8.266,4.215,1.6763830001733298
20,2.126,8.101,4.014,1.6295133726326143
21,2.011,7.77,3.854,1.5645185653041485
22,1.979,6.86,3.638,1.3263847123367778
23,1.999,6.029,3.447,1.1147868032890758
24,2.105,5.6,3.285,0.9847247826326222
25,2.245,5.111,3.189,0.8528782644820222
26,2.518,4.458,3.042,0.639688492350417
27,2.492,4.06,2.936,0.5174788810025557
28,2.494,4.027,2.828,0.46841809671934087
29,2.268,3.969,2.697,0.4708553830929998
30,1.909,3.87,2.616,0.5005274762182702
31,1.863,3.606,2.511,0.43555827383436024
32,2.063,3.086,2.39,0.2760458592675864
33,2.18,2.487,2.303,0.10057739733628707
34,1.86,2.403,2.193,0.1812192854772618
35,1.886,2.362,2.105,0.1658692960707956
36,1.851,2.347,2.031,0.14981343247241552
37,1.787,2.342,2.021,0.15078776506180477
38,1.849,2.111,1.967,0.07239424267876837
39,1.708,2.019,1.898,0.08389425481020965
40,1.629,2.081,1.872,0.12054089430277296
41,1.694,1.937,1.802,0.07707977573201005
42,1.618,1.914,1.751,0.09097691405689581
43,1.532,1.884,1.713,0.1001949557303955
44,1.511,1.788,1.611,0.08677806588752075
45,1.504,1.741,1.555,0.0692101402050835
46,1.502,1.734,1.561,0.07225258736298004
47,1.499,1.664,1.545,0.05752986827894742
48,1.497,1.609,1.521,0.03353105613852379
49,1.499,1.588,1.522,0.027037294782649
