Iteration,Min,Max,Average,Std. Dev.
0,3.069,10.866,5.865,2.309745427909875
1,3.069,10.866,5.865,2.309745427909875
2,3.068,10.841,5.845,2.302167321819856
3,3.019,10.723,5.793,2.281991079696355
4,2.964,10.683,5.731,2.2890116616514264
5,2.94,10.607,5.683,2.277266066778736
6,2.904,10.55,5.618,2.2550050869829406
7,2.891,10.449,5.52,2.2156200291123085
8,2.834,10.098,5.416,2.1339406211608622
9,2.827,9.823,5.302,2.0562354488478722
10,2.711,9.268,5.15,1.9079643555597412
11,2.55,9.177,5.054,1.8980862883460132
12,2.5,9.125,4.921,1.862391231280434
13,2.335,9.104,4.835,1.885206284733585
14,2.31,8.932,4.763,1.8637277283918832
15,2.273,8.883,4.676,1.8468749202004602
16,2.217,8.622,4.536,1.7888890755155276
17,2.181,8.136,4.393,1.6565399595802164
18,2.155,8.059,4.227,1.6187542856134682
19,2.109,8.008,4.075,1.6122049590514003
20,2.081,7.851,3.886,1.5689044647543795
21,1.989,7.541,3.739,1.5054958468835993
22,1.976,6.695,3.541,1.2808758085537548
23,2.017,5.926,3.369,1.0788423492780093
24,2.13,5.532,3.225,0.9563596787390549
25,2.262,5.086,3.141,0.8333441521865659
26,2.503,4.493,3.009,0.6394368723024587
27,2.466,4.132,2.914,0.528416905307731
28,2.469,4.103,2.82,0.4883540714938907
29,2.341,4.052,2.706,0.48702495597908224
30,1.987,3.965,2.635,0.5092018158939884
31,1.841,3.736,2.542,0.47214050016777903
32,1.881,3.284,2.434,0.34872822573347645
33,2.089,2.761,2.348,0.17839379723046986
34,2.058,2.295,2.201,0.0893480063342013
35,1.833,2.272,2.063,0.15085629066955597
36,1.728,2.176,1.928,0.14599524499151414
37,1.579,2.171,1.851,0.16669568004714633
38,1.559,1.97,1.765,0.1222505461695456
39,1.568,1.713,1.638,0.047095060043561794
40,1.589,1.713,1.641,0.0464225801318817
41,1.547,1.674,1.614,0.036837227930678326
42,1.56,1.882,1.637,0.09591310289938755
43,1.54,1.837,1.622,0.09245395455587924
44,1.5,1.665,1.565,0.049653057610941964
45,1.496,1.669,1.533,0.053644503328686026
46,1.496,1.66,1.53,0.06724915062484156
47,1.496,1.654,1.53,0.05560776171945892
48,1.496,1.576,1.505,0.025097544229581038
49,1.496,1.563,1.511,0.019605707773813263
