Iteration,Min,Max,Average,Std. Dev.
0,3.069,10.866,5.865,2.309745427909875
1,3.069,10.866,5.865,2.309745427909875
2,3.045,10.414,5.498,2.199770877861465
3,2.495,8.786,4.797,1.939181149469973
4,2.054,8.303,4.181,2.0714119665926893
5,1.866,7.588,3.78,1.9925211700626004
6,1.794,7.08,3.267,1.6904699409229331
7,1.747,6.246,2.647,1.3506110464399308
8,1.606,3.703,2.144,0.6200733378919127
9,1.505,2.291,1.939,0.25091512546399286
10,1.583,2.627,1.926,0.33084902767981866
11,1.51,2.673,1.767,0.3414637162328665
12,1.497,2.505,1.768,0.333511863617284
13,1.556,2.418,1.853,0.33520275213917244
14,1.585,2.362,1.763,0.23962123276913183
15,1.556,1.932,1.665,0.10662596482769592
16,1.498,1.718,1.625,0.07371768230181429
17,1.496,1.684,1.558,0.06673516081346875
18,1.496,2.013,1.645,0.16152999635868423
19,1.498,1.863,1.614,0.12456351685269872
20,1.497,1.702,1.581,0.07177411839799562
21,1.496,2.026,1.587,0.1728568440876848
22,1.496,1.956,1.593,0.14199750169547634
23,1.497,1.825,1.608,0.11555880325056457
24,1.496,1.735,1.56,0.08543040826134649
25,1.498,2.103,1.606,0.18765365775131423
26,1.497,1.925,1.59,0.13660575874749795
27,1.496,1.531,1.508,0.012561666947236056
28,1.496,2.216,1.575,0.2254652160163113
29,1.496,2.132,1.68,0.22452657435177725
30,1.496,1.996,1.617,0.1857256586479019
31,1.496,2.047,1.634,0.20064979332420074
32,1.499,1.927,1.649,0.13685641287981254
33,1.496,1.683,1.581,0.06946081606637837
34,1.5,1.825,1.58,0.09749353536982218
35,1.497,1.807,1.553,0.09317274274523674
36,1.497,2.06,1.6,0.182182720691524
37,1.496,2.487,1.635,0.3087767388141243
38,1.496,1.836,1.544,0.10619458056484504
39,1.496,1.696,1.548,0.07430858128442361
40,1.5,1.675,1.537,0.053346849089467074
41,1.498,1.55,1.519,0.02066589819515676
42,1.496,1.666,1.542,0.06009891648147646
43,1.499,2.103,1.594,0.18194478675555492
44,1.497,2.128,1.57,0.1966236650964684
45,1.496,2.048,1.619,0.17644837915251554
46,1.5,1.782,1.575,0.09972747584277886
47,1.499,2.181,1.631,0.2024299566797713
48,1.51,1.838,1.586,0.10882413877188674
49,1.496,1.936,1.566,0.13373566002888937
