Iteration,Min,Max,Average,Std. Dev.
0,3.069,10.866,5.865,2.309745427909875
1,3.069,10.866,5.865,2.309745427909875
2,3.067,10.827,5.833,2.297986599297695
3,3.001,10.662,5.761,2.2695224689283973
4,2.93,10.608,5.681,2.278356826911477
5,2.901,10.517,5.622,2.264172331438464
6,2.86,10.451,5.546,2.2380878132650093
7,2.846,10.339,5.437,2.1938981929145007
8,2.786,9.963,5.325,2.1051260735505446
9,2.778,9.672,5.206,2.022319528772198
10,2.663,9.1,5.05,1.8672173844299966
11,2.507,9.008,4.952,1.8571219404695374
12,2.459,8.957,4.822,1.822361877485229
13,2.305,8.937,4.74,1.8433147723859595
14,2.281,8.775,4.673,1.8223737653048573
15,2.247,8.73,4.592,1.8077262184128813
16,2.198,8.493,4.464,1.7554553377969764
17,2.166,8.053,4.335,1.6357412718419349
18,2.144,7.984,4.187,1.6010568100094742
19,2.105,7.939,4.054,1.594574921264712
20,2.081,7.803,3.888,1.5564273355859322
21,2.0,7.537,3.754,1.5051655926159213
22,1.981,6.818,3.575,1.3199167714255964
23,1.996,6.163,3.425,1.1508396467864537
24,2.063,5.828,3.298,1.0481149522821624
25,2.155,5.451,3.22,0.9470702819485327
26,2.346,4.945,3.101,0.7825447446483313
27,2.464,4.635,3.009,0.674413159315775
28,2.465,4.611,2.924,0.6334149350290198
29,2.425,4.568,2.826,0.6197674616622582
30,2.255,4.492,2.781,0.6169806784334246
31,2.058,4.304,2.689,0.5904937491258979
32,1.938,3.938,2.582,0.5090109564265473
33,1.84,3.502,2.507,0.4031576909077794
34,1.816,2.916,2.392,0.277971117457844
35,1.818,2.403,2.267,0.16820350593719643
36,1.82,2.337,2.153,0.14361962337136364
37,1.801,2.332,2.025,0.16914169037796792
38,1.715,2.158,1.932,0.15378803742559444
39,1.752,1.923,1.818,0.05051575838533233
40,1.728,1.795,1.761,0.022713097774880817
41,1.652,1.862,1.758,0.05495400105115988
42,1.659,1.812,1.734,0.0427940077085347
43,1.55,1.768,1.685,0.06578257892409493
44,1.515,1.734,1.631,0.05937692179019352
45,1.496,1.719,1.575,0.07322687723258463
46,1.518,1.772,1.585,0.08445102516276866
47,1.497,1.763,1.571,0.0745116306174904
48,1.512,1.749,1.598,0.09173038022207011
49,1.497,1.744,1.599,0.08745557484242852
