Iteration,Min,Max,Average,Std. Dev.
0,1.496,13.458,4.935,2.55223862008658
1,1.496,13.458,4.935,2.55223862008658
2,1.496,13.322,4.861,2.5227081859573626
3,1.496,13.261,4.728,2.469722019346501
4,1.496,13.144,4.545,2.373046975733656
5,1.496,12.979,4.337,2.29972120833385
6,1.496,12.93,4.135,2.224672525448671
7,1.496,12.687,3.898,2.114127670631016
8,1.496,12.345,3.64,1.9824137425113815
9,1.496,12.023,3.36,1.8753429381937403
10,1.496,11.966,3.101,1.7932531132565814
11,1.496,11.697,2.866,1.6748588247596554
12,1.496,11.3,2.635,1.550192246691452
13,1.496,10.89,2.404,1.4288574432462102
14,1.496,10.833,2.208,1.3082370543559387
15,1.496,10.14,2.051,1.17449756602299
16,1.496,10.048,1.924,1.066749148283354
17,1.496,9.244,1.812,0.9128574148727661
18,1.496,8.527,1.742,0.8031860724108852
19,1.496,7.248,1.682,0.6588208521114399
20,1.496,6.444,1.644,0.5650023916349297
21,1.496,5.463,1.602,0.4486228501963847
22,1.496,3.798,1.564,0.2718540308967114
23,1.496,2.394,1.532,0.1275978868492334
24,1.496,2.35,1.526,0.10690894640931065
25,1.496,2.226,1.521,0.08202043634224296
26,1.496,2.112,1.516,0.06323271926845983
27,1.496,1.685,1.51,0.02962910708708972
28,1.496,1.745,1.507,0.026902145397250738
29,1.496,1.558,1.504,0.012281649096160922
30,1.496,1.621,1.504,0.016644025948174924
31,1.496,1.692,1.502,0.02007639867308607
32,1.496,1.592,1.505,0.017913379832215682
33,1.496,1.584,1.503,0.014997024774032985
34,1.496,1.616,1.506,0.02028690500404255
35,1.496,1.594,1.504,0.014542045981640096
36,1.496,1.623,1.506,0.022531747314341512
37,1.496,1.642,1.506,0.021940885165056608
38,1.496,1.56,1.502,0.011131057765224325
39,1.496,1.605,1.503,0.0145214026090545
40,1.496,1.604,1.503,0.014652419525579786
41,1.496,1.652,1.505,0.020217635298898567
42,1.496,1.657,1.505,0.022309615104057885
43,1.496,1.636,1.509,0.02638346265876496
44,1.496,1.605,1.507,0.021548254735032548
45,1.496,1.651,1.511,0.02845605222303117
46,1.496,1.646,1.507,0.026123559525501154
47,1.496,1.59,1.508,0.02135912725529568
48,1.496,1.709,1.509,0.027506242456318372
49,1.496,1.685,1.509,0.029433093284186956
50,1.496,1.652,1.509,0.02714759260990403
51,1.496,1.652,1.512,0.030866017117066758
52,1.496,1.629,1.509,0.028063146649337404
53,1.496,1.702,1.511,0.030545564389999863
54,1.496,1.737,1.51,0.032756045497101004
55,1.496,1.693,1.511,0.03466763264033309
56,1.496,1.663,1.514,0.03201789343751539
57,1.496,1.589,1.508,0.02022269605196674
58,1.496,1.653,1.512,0.03145774655872918
59,1.496,1.624,1.51,0.024524367152915737
60,1.496,1.682,1.51,0.026586334296340063
61,1.496,1.793,1.51,0.03661527934963105
62,1.496,1.884,1.516,0.05175373254487986
63,1.496,1.811,1.512,0.038084216146847885
64,1.496,1.679,1.509,0.02740251288355203
65,1.496,1.692,1.515,0.037735994000421214
66,1.496,1.631,1.51,0.026962906974487177
67,1.496,1.628,1.514,0.029499521108807162
68,1.496,1.611,1.509,0.02136232197270181
69,1.496,1.657,1.512,0.029866692933740474
70,1.496,1.759,1.519,0.04615419231003445
71,1.496,1.759,1.515,0.042806140719282564
72,1.496,1.831,1.516,0.04869770665529632
73,1.496,1.827,1.513,0.04106768092374837
74,1.496,1.86,1.522,0.05057444620656011
75,1.496,1.839,1.519,0.04613345615863666
76,1.496,1.699,1.521,0.04057639976148803
77,1.496,1.693,1.515,0.03564224830478159
78,1.496,1.718,1.513,0.03631767685460043
79,1.496,1.717,1.514,0.03586951234353055
80,1.496,1.715,1.517,0.039823837254427515
81,1.496,1.796,1.519,0.046581489598673
82,1.496,1.734,1.523,0.04940425727125504
83,1.496,1.792,1.518,0.03958331904021117
84,1.496,1.831,1.518,0.04787520827510377
85,1.496,1.814,1.512,0.0415047299161012
86,1.496,1.747,1.519,0.04264809200018892
87,1.496,1.688,1.512,0.03086244698322588
88,1.496,1.661,1.517,0.03552057241242616
89,1.496,1.768,1.517,0.0393388927766025
90,1.496,1.736,1.51,0.028768631362406944
91,1.496,1.754,1.519,0.04313986981932528
92,1.496,1.669,1.517,0.03407012756006085
93,1.496,1.743,1.519,0.040704140053106956
94,1.496,1.743,1.515,0.036017195406941795
95,1.496,1.758,1.517,0.040666408662396236
96,1.496,1.773,1.518,0.0481068718959635
97,1.496,1.768,1.522,0.05145579224032089
98,1.496,1.765,1.52,0.05158600448735585
99,1.496,1.819,1.529,0.06635573805226797
