Iteration,Min,Max,Average,Std. Dev.
0,3.069,10.866,5.865,2.309745427909875
1,3.069,10.866,5.865,2.309745427909875
2,3.065,10.782,5.796,2.2848452401241044
3,2.915,10.405,5.632,2.221230038904459
4,2.752,10.279,5.45,2.240711791597831
5,2.687,10.055,5.314,2.2026262508926973
6,2.593,9.889,5.125,2.13078614253679
7,2.561,9.598,4.854,2.015109168516833
8,2.427,8.608,4.577,1.7681638326531282
9,2.41,7.845,4.279,1.5401998092929738
10,2.17,6.345,3.886,1.1373365452047062
11,2.024,6.109,3.686,1.092123551555766
12,2.07,5.974,3.399,1.0764567026308833
13,2.347,5.919,3.276,1.0253025223133896
14,2.404,5.486,3.128,0.939746133872785
15,2.314,5.351,2.978,0.8945481429812717
16,2.337,4.672,2.739,0.7049687103623965
17,2.0,3.498,2.521,0.39272223557383773
18,1.78,3.311,2.334,0.46129524415044004
19,1.763,3.189,2.219,0.44701678624019725
20,1.697,2.807,2.161,0.30613119819050094
21,1.582,2.385,1.999,0.28415797108660246
22,1.601,2.113,1.828,0.21371237503237467
23,1.496,2.615,1.756,0.32565818448508044
24,1.501,2.535,1.671,0.313987158016576
25,1.496,2.106,1.575,0.1894586513968977
26,1.496,1.874,1.554,0.11410043664766811
27,1.499,1.839,1.596,0.1287918524001756
28,1.498,1.814,1.614,0.11702068043632144
29,1.496,1.707,1.55,0.071520934507326
30,1.496,1.551,1.52,0.023042480906515492
31,1.497,1.614,1.525,0.036867657618723265
32,1.496,1.562,1.516,0.026116443396494944
33,1.498,1.535,1.506,0.012268379817448416
34,1.497,1.925,1.619,0.1607871781210982
35,1.496,1.814,1.581,0.13281382213563034
36,1.496,1.77,1.59,0.09090637525196593
37,1.496,1.742,1.549,0.08066987947158813
38,1.496,1.548,1.512,0.019394171955371055
39,1.496,1.695,1.524,0.06092495927427388
40,1.496,1.634,1.52,0.04359734300355817
41,1.496,1.555,1.517,0.01983854636550241
42,1.496,1.601,1.52,0.04008874072832018
43,1.496,1.542,1.518,0.01665144892083203
44,1.497,1.534,1.505,0.012873796178854448
45,1.496,1.667,1.525,0.05561934301594566
46,1.499,1.706,1.543,0.07434709359764301
47,1.496,1.678,1.531,0.06445528071910692
48,1.496,1.622,1.52,0.03985789750762741
49,1.497,1.744,1.546,0.08118934722881417
