Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=1, n=200, seed=1234",0,12864374849.547531,77029989516.45538,34924551817.17611,12151955274.422663
"pop=300, k=1, n=200, seed=1234",1,13486050159.472036,213005543303.78912,61692260279.37951,45292093726.39115
"pop=300, k=1, n=200, seed=1234",2,14217328265.492487,540335740264.8324,59426624673.578766,64654337793.480545
"pop=300, k=1, n=200, seed=1234",3,14232365080.821941,299403641584.5729,51093518240.65454,48179714732.54567
"pop=300, k=1, n=200, seed=1234",4,14229923179.075752,459196127519.78723,48524452299.17827,54012323639.80984
"pop=300, k=1, n=200, seed=1234",5,14204773149.553318,218481073300.7343,39144247164.17635,36231851656.71845
"pop=300, k=1, n=200, seed=1234",6,14152532227.195824,242824367464.66214,31789732103.906906,32701927070.637363
"pop=300, k=1, n=200, seed=1234",7,14094258220.576824,187246284698.50485,32271150368.317917,36094635304.30873
"pop=300, k=1, n=200, seed=1234",8,14051495497.313929,190379105792.63718,16112496544.445185,15871211241.77022
"pop=300, k=1, n=200, seed=1234",9,13916739621.183958,14394490913.461422,14173104258.509462,74988116.57731946
"pop=300, k=1, n=200, seed=1234",10,13789286551.577847,14424295736.868578,14101851496.184221,89348315.41611315
"pop=300, k=1, n=200, seed=1234",11,13535804752.725286,14570235597.876945,14016022664.358782,131423467.0255241
"pop=300, k=1, n=200, seed=1234",12,13402667993.307411,14537035665.945301,13893471480.850304,160230219.99395278
"pop=300, k=1, n=200, seed=1234",13,13039169283.474916,14525681231.135456,13740626011.373638,203650081.48263076
"pop=300, k=1, n=200, seed=1234",14,12436430893.721241,15152680083.881805,13559186412.006422,267112940.72156048
"pop=300, k=1, n=200, seed=1234",15,12143332667.012877,14538173774.498087,13335925589.231129,332896319.96002394
"pop=300, k=1, n=200, seed=1234",16,11413876637.014074,15072078626.946178,13068601029.580172,463332638.9430579
"pop=300, k=1, n=200, seed=1234",17,11061395053.124619,15477596970.155458,12732488111.520733,692529506.9372929
"pop=300, k=1, n=200, seed=1234",18,10487904452.056522,16862315323.894552,12298792645.767803,811072048.7060823
"pop=300, k=1, n=200, seed=1234",19,9776662504.620346,15460397260.76949,11858861216.84799,824635091.8786615
"pop=300, k=1, n=200, seed=1234",20,8578551413.693275,16341755762.208523,11456673695.15969,806415569.3946939
"pop=300, k=1, n=200, seed=1234",21,8437978644.352725,17941481962.27578,11084398998.96401,1095210759.2939847
"pop=300, k=1, n=200, seed=1234",22,8451410455.8305645,15405905750.401817,10616714999.081684,965843797.7682776
"pop=300, k=1, n=200, seed=1234",23,7730727071.573353,17640937003.68092,10378829442.987913,1167522280.1152384
"pop=300, k=1, n=200, seed=1234",24,7550408209.277618,16564347182.734928,9907953514.07337,1224110083.0373352
"pop=300, k=1, n=200, seed=1234",25,6945821691.840297,20277564048.144356,9750806002.616564,1681226415.947462
"pop=300, k=1, n=200, seed=1234",26,6863836195.547335,16292528290.54146,9505430984.42496,1588897949.3565006
"pop=300, k=1, n=200, seed=1234",27,6032017266.776201,16419241843.85605,9240274489.832731,1760436181.7643878
"pop=300, k=1, n=200, seed=1234",28,6032017266.776201,19301158876.859993,8926794565.301523,2130082628.4790175
"pop=300, k=1, n=200, seed=1234",29,6019413926.893314,16052889909.0648,8168997142.980485,1656189607.432406
"pop=300, k=1, n=200, seed=1234",30,5610059629.6183,14492137289.16857,7668730038.778325,1317932936.91648
"pop=300, k=1, n=200, seed=1234",31,4981508229.923823,15649510681.712755,7399101390.233917,1289012704.354858
