Iteration,Min,Max,Average,Std. Dev.
0,3.069,10.866,5.865,2.309745427909875
1,3.069,10.866,5.865,2.309745427909875
2,3.065,10.788,5.801,2.2866609447259454
3,2.935,10.458,5.658,2.2305118089047062
4,2.797,10.351,5.502,2.2470892553628246
5,2.742,10.168,5.388,2.2165719122951058
6,2.666,10.036,5.238,2.1604912804222334
7,2.639,9.811,5.024,2.0700992695763527
8,2.531,9.054,4.808,1.8838542968112486
9,2.518,8.474,4.577,1.7126889262604537
10,2.321,7.337,4.274,1.401530449111777
11,2.107,7.157,4.11,1.3691921451744375
12,2.058,7.057,3.878,1.32892736338965
13,2.08,7.017,3.76,1.3172694967182657
14,2.132,6.701,3.662,1.2456406014903383
15,2.23,6.608,3.538,1.202642620356882
16,2.355,6.131,3.347,1.0563230379792274
17,2.468,5.284,3.156,0.7806301466960205
18,2.473,5.149,2.934,0.792320862509332
19,2.204,5.059,2.772,0.8266720322732093
20,2.077,4.779,2.625,0.7781179508986782
21,2.016,4.251,2.563,0.6320324774358691
22,1.897,3.106,2.43,0.37938820584422545
23,1.911,3.089,2.26,0.34113928421841316
24,1.904,2.877,2.129,0.283178061082416
25,1.861,2.173,2.0,0.10216447807982104
26,1.714,2.058,1.895,0.11355877385125625
27,1.599,1.964,1.785,0.11260586342549164
28,1.571,1.938,1.728,0.13038583589709274
29,1.501,1.866,1.632,0.10939488383853892
30,1.5,1.741,1.554,0.07284840998956006
31,1.496,1.707,1.554,0.06646357434947359
32,1.497,1.702,1.543,0.07042767719586836
33,1.497,1.644,1.535,0.055806765058250184
34,1.496,1.732,1.581,0.08403597176450335
35,1.496,1.687,1.539,0.05876327982625156
36,1.5,1.671,1.535,0.05058151770677878
37,1.506,1.665,1.564,0.052865895055930846
38,1.496,1.554,1.512,0.019324162897979887
39,1.497,1.624,1.544,0.045869020466563756
40,1.496,1.569,1.513,0.022027566534898516
41,1.497,1.532,1.508,0.01107803328863174
42,1.496,1.567,1.516,0.024051909166511346
43,1.496,1.528,1.511,0.011876751071807716
44,1.496,1.577,1.517,0.02588407612163429
45,1.5,1.588,1.533,0.03330534588895591
46,1.502,1.612,1.55,0.03288792745625913
47,1.505,1.591,1.531,0.028628551788666894
48,1.505,1.658,1.536,0.04613178996742797
49,1.496,1.634,1.523,0.040597992478941185
