Iteration,Min,Max,Average,Std. Dev.
0,3.069,10.866,5.865,2.309745427909875
1,3.069,10.866,5.865,2.309745427909875
2,3.069,10.853,5.854,2.305667513873749
3,3.041,10.786,5.825,2.2942735720348395
4,3.008,10.762,5.788,2.2985109155621206
5,2.993,10.716,5.759,2.291389388462732
6,2.97,10.681,5.718,2.277849061534243
7,2.962,10.617,5.656,2.2532378604921037
8,2.924,10.39,5.588,2.2019646137167146
9,2.919,10.211,5.513,2.151867329426263
10,2.838,9.845,5.412,2.0545134734473463
11,2.723,9.785,5.346,2.048822010962129
12,2.686,9.749,5.254,2.022514016910105
13,2.556,9.735,5.193,2.041103519496493
14,2.534,9.615,5.141,2.0276217334911095
15,2.502,9.581,5.078,2.0179255655833694
16,2.453,9.399,4.978,1.9824109933815537
17,2.419,9.057,4.875,1.8953256025187433
18,2.395,9.002,4.755,1.8681553628974594
19,2.352,8.966,4.642,1.86342169861235
20,2.324,8.854,4.496,1.8274987066985933
21,2.212,8.634,4.363,1.7962135830136339
22,2.154,8.032,4.186,1.660468046271939
23,2.093,7.473,4.04,1.5381912562056865
24,2.04,7.183,3.91,1.4627056432527732
25,2.014,6.845,3.816,1.395914827805746
26,2.023,6.386,3.681,1.2713331662965086
27,2.181,6.099,3.559,1.17094953184174
28,2.424,6.076,3.46,1.0850739365703894
29,2.652,6.035,3.324,1.0310363011663333
30,2.505,5.96,3.189,1.0430007671719246
31,2.472,5.775,3.077,1.003584463735133
32,2.551,5.407,2.957,0.88794603782221
33,2.367,4.96,2.848,0.7567313816698791
34,2.245,4.347,2.72,0.5840801191174737
35,2.23,3.659,2.607,0.38846344215388173
36,2.185,3.354,2.553,0.30502146789030843
37,2.182,2.947,2.472,0.2060444928879437
38,2.124,2.879,2.41,0.19120827198796714
39,1.978,2.633,2.313,0.15925085565902364
40,2.176,2.351,2.268,0.052073155536735506
41,2.111,2.596,2.23,0.13928123320096686
42,2.027,2.497,2.169,0.13125101966642602
43,1.991,2.197,2.102,0.05786054558558258
44,1.918,2.165,2.052,0.06791212942204042
45,1.81,2.138,1.985,0.10736263133715856
46,1.788,2.063,1.904,0.09623465325206562
47,1.679,1.879,1.795,0.07395952267214893
48,1.58,1.81,1.696,0.07042079220873781
49,1.553,1.78,1.654,0.06455244704763635
50,1.513,1.677,1.6,0.05168624144776547
51,1.508,1.627,1.562,0.03411828129320504
52,1.496,1.563,1.527,0.023558330895194882
53,1.496,1.532,1.507,0.012731366217675776
54,1.497,1.536,1.511,0.01400441652945386
55,1.496,1.515,1.502,0.006605208400084497
56,1.496,1.555,1.509,0.02021453996516116
57,1.496,1.558,1.513,0.021217814833447424
58,1.496,1.545,1.507,0.015915038895717108
59,1.496,1.546,1.511,0.018454690272981317
60,1.496,1.532,1.504,0.011510224746493979
61,1.496,1.551,1.512,0.017472365100034186
62,1.496,1.716,1.535,0.06864365209108732
63,1.496,1.661,1.523,0.05214457544157044
64,1.496,1.681,1.522,0.0576689748653614
65,1.496,1.61,1.511,0.03521422251393559
66,1.497,1.529,1.509,0.011593034504887668
67,1.496,1.526,1.505,0.011025095577050994
68,1.496,1.534,1.505,0.011979673437322714
69,1.496,1.529,1.503,0.01041076873252096
70,1.496,1.514,1.499,0.0054247343889721866
71,1.496,1.507,1.499,0.0038205892424534945
72,1.496,1.516,1.5,0.006621475504066871
73,1.496,1.502,1.499,0.0026985826878624373
74,1.496,1.521,1.501,0.00783110855347183
75,1.496,1.508,1.501,0.004317996499898766
76,1.496,1.557,1.505,0.018547660542579995
77,1.496,1.543,1.508,0.015985169380564497
78,1.496,1.544,1.508,0.013857738013753415
79,1.496,1.546,1.506,0.014490572275049483
80,1.496,1.595,1.511,0.029741190244151745
81,1.496,1.599,1.515,0.03431608195828682
82,1.496,1.597,1.512,0.031157031080591324
83,1.496,1.52,1.501,0.0077960588186116
84,1.497,1.628,1.516,0.04044725236703815
85,1.496,1.599,1.513,0.03216727379418021
86,1.496,1.549,1.506,0.017007297059701252
87,1.496,1.624,1.512,0.03967156924047032
88,1.496,1.571,1.513,0.0244221992561575
89,1.496,1.555,1.507,0.017633669500203637
90,1.496,1.587,1.511,0.02837298294380214
91,1.496,1.511,1.5,0.005215576812726091
92,1.497,1.653,1.517,0.04892580719380083
93,1.496,1.665,1.517,0.05244366417924753
94,1.496,1.51,1.499,0.004726333217702994
95,1.497,1.64,1.522,0.04883425419068693
96,1.496,1.617,1.514,0.03717845944816336
97,1.496,1.545,1.512,0.018332770332633818
98,1.496,1.71,1.522,0.0665616134557796
99,1.496,1.75,1.536,0.0820297390664323
