Iteration,Min,Max,Average,Std. Dev.
0,1.496,13.458,4.935,2.55223862008658
1,1.496,13.458,4.935,2.55223862008658
2,1.496,13.42,4.914,2.544033733949205
3,1.496,13.399,4.869,2.525758506977076
4,1.496,13.351,4.797,2.4866295064171604
5,1.496,13.274,4.704,2.452073377923711
6,1.496,13.249,4.603,2.4125644605779843
7,1.496,13.114,4.471,2.3494210179160273
8,1.496,12.914,4.315,2.272145813401876
9,1.496,12.717,4.129,2.209463869572539
10,1.496,12.68,3.943,2.1510303337626606
11,1.496,12.498,3.758,2.072513396403855
12,1.496,12.217,3.556,1.9791771317395743
13,1.496,11.92,3.334,1.8800530711662522
14,1.496,11.877,3.119,1.7650335083415085
15,1.496,11.333,2.9,1.6371368132124147
16,1.496,11.26,2.682,1.5461263305217379
17,1.496,10.593,2.468,1.4119261971299422
18,1.496,9.986,2.305,1.3127991918711466
19,1.496,8.886,2.133,1.1707703124105124
20,1.496,8.18,2.012,1.061487586560716
21,1.496,7.294,1.895,0.907923983661373
22,1.496,5.73,1.792,0.701018549110729
23,1.496,4.301,1.716,0.5403141460110487
24,1.496,4.252,1.658,0.44703418914122767
25,1.496,4.106,1.613,0.37513859489145673
26,1.496,3.963,1.571,0.29222135818981443
27,1.496,3.248,1.54,0.18669574562901584
28,1.496,2.718,1.527,0.12840362855369386
29,1.496,2.568,1.522,0.11047958455506753
30,1.496,1.914,1.509,0.04341192360616764
31,1.496,1.709,1.511,0.03241718400107934
32,1.496,1.717,1.509,0.026699654155441458
33,1.496,1.652,1.51,0.02385025540492422
34,1.496,1.671,1.513,0.030003175121671357
35,1.496,1.671,1.509,0.024720064765636166
36,1.496,1.679,1.509,0.025530125120341838
37,1.496,1.671,1.505,0.021006498287840552
38,1.496,1.601,1.505,0.019303471141649223
39,1.496,1.773,1.509,0.03093121996069511
40,1.496,1.764,1.508,0.03261610074380859
41,1.496,1.724,1.511,0.03284652111165424
42,1.496,1.795,1.513,0.043387139126658064
43,1.496,1.78,1.513,0.041970047768804045
44,1.496,1.659,1.513,0.03226123133793122
45,1.496,1.72,1.517,0.04063034066070444
46,1.496,1.691,1.51,0.03121590521310087
47,1.496,1.662,1.515,0.03414390348698649
48,1.496,1.872,1.516,0.04839617164290283
49,1.496,1.825,1.522,0.05895451104346763
