Iteration,Min,Max,Average,Std. Dev.
0,1.496,13.458,4.935,2.55223862008658
1,1.496,13.458,4.935,2.55223862008658
2,1.496,13.348,4.875,2.5282160234757924
3,1.496,13.298,4.766,2.4849099327593267
4,1.496,13.203,4.617,2.4055194358434195
5,1.496,13.069,4.448,2.344356305202067
6,1.496,13.029,4.281,2.282036276584716
7,1.496,12.832,4.086,2.1900105904087583
8,1.496,12.555,3.87,2.0826412023668284
9,1.496,12.294,3.633,1.9962647852132536
10,1.496,12.248,3.412,1.9233362210824152
11,1.496,12.031,3.204,1.8272824807863082
12,1.496,11.709,2.993,1.7217357645063478
13,1.496,11.377,2.769,1.618863502390826
14,1.496,11.331,2.569,1.5065334397766248
15,1.496,10.77,2.38,1.3865243404925682
16,1.496,10.696,2.217,1.2931113817083226
17,1.496,10.043,2.072,1.1527477583905286
18,1.496,9.459,1.974,1.0509889433868151
19,1.496,8.417,1.867,0.9229387571611003
20,1.496,7.761,1.801,0.830940495562276
21,1.496,6.956,1.728,0.7086721837298199
22,1.496,5.565,1.662,0.5387527227280126
23,1.496,4.247,1.618,0.3975328689156243
24,1.496,4.038,1.589,0.3367001722915172
25,1.496,3.674,1.562,0.28978195306105287
26,1.496,3.215,1.539,0.22363028848013602
27,1.496,2.668,1.521,0.13009966137361703
28,1.496,2.283,1.511,0.07968804474129332
29,1.496,2.179,1.506,0.06814461369463996
30,1.496,1.766,1.503,0.027889358989445338
31,1.496,1.646,1.502,0.016075640900327946
32,1.496,1.535,1.5,0.006725312755028231
33,1.496,1.556,1.501,0.008392557170475075
34,1.496,1.553,1.501,0.010874637530256331
35,1.496,1.584,1.502,0.01283116488527393
36,1.496,1.581,1.503,0.01444645791632421
37,1.496,1.547,1.502,0.011083492118620556
38,1.496,1.542,1.5,0.007631032472390131
39,1.496,1.665,1.504,0.020126259433488614
40,1.496,1.684,1.503,0.023015301775828553
41,1.496,1.566,1.503,0.011979746373161845
42,1.496,1.567,1.501,0.012646913239387488
43,1.496,1.583,1.504,0.018371099331436238
44,1.496,1.571,1.502,0.01277458649345503
45,1.496,1.672,1.504,0.022713902028255514
46,1.496,1.674,1.503,0.021746764587898877
47,1.496,1.558,1.502,0.011225790330361612
48,1.496,1.635,1.505,0.019489525370057135
49,1.496,1.619,1.504,0.018079796952371018
