Iteration,Min,Max,Average,Std. Dev.
0,1.496,13.458,4.935,2.55223862008658
1,1.496,13.458,4.935,2.55223862008658
2,1.496,13.424,4.916,2.54477045536021
3,1.496,13.406,4.877,2.528953164441457
4,1.496,13.366,4.817,2.496256415549581
5,1.496,13.305,4.742,2.467980425660742
6,1.496,13.285,4.662,2.436413550206329
7,1.496,13.182,4.56,2.3871050169258416
8,1.496,13.032,4.441,2.3276636726869726
9,1.496,12.885,4.299,2.280048927420723
10,1.496,12.858,4.16,2.235068472818876
11,1.496,12.727,4.02,2.178444795988253
12,1.496,12.526,3.868,2.1095066230921984
13,1.496,12.314,3.702,2.0342941711963536
14,1.496,12.284,3.541,1.9462956442053394
15,1.496,11.904,3.371,1.8486582619664367
16,1.496,11.853,3.196,1.7842680971059588
17,1.496,11.396,3.014,1.69308562943907
18,1.496,10.98,2.852,1.6355191611963589
19,1.496,10.232,2.675,1.5478523808836537
20,1.496,9.752,2.538,1.47188408097206
21,1.496,9.153,2.373,1.3660136077343894
22,1.496,8.092,2.229,1.221684019151523
23,1.496,7.059,2.108,1.1000398171660928
24,1.496,6.89,2.015,1.0170612916524098
25,1.496,6.585,1.931,0.9334911662659737
26,1.496,5.948,1.844,0.8145253019684502
27,1.496,5.078,1.764,0.6850865481811993
28,1.496,4.418,1.7,0.5582698655611649
29,1.496,4.275,1.639,0.42794648825368675
30,1.496,3.728,1.583,0.2889957520274359
31,1.496,3.475,1.547,0.21290610054150572
32,1.496,3.047,1.535,0.1659425554334715
33,1.496,3.006,1.533,0.16215681450948005
34,1.496,2.573,1.519,0.11464806116997406
35,1.496,2.443,1.513,0.09599537688991881
36,1.496,2.273,1.511,0.07894139004302365
37,1.496,2.156,1.507,0.06635299498648159
38,1.496,1.857,1.503,0.036579188705084226
39,1.496,1.753,1.504,0.026435789494193885
40,1.496,1.68,1.501,0.01929421798806052
41,1.496,1.557,1.501,0.009949511278560556
42,1.496,1.55,1.5,0.009109301752248508
43,1.496,1.545,1.5,0.008124168499003838
44,1.496,1.539,1.501,0.008761451023561549
45,1.496,1.588,1.503,0.013320378927625377
46,1.496,1.552,1.501,0.010449651664808296
47,1.496,1.58,1.503,0.015039537732486811
48,1.496,1.568,1.503,0.012750356521944176
49,1.496,1.562,1.501,0.009232458410124154
