Key,loss p1,loss p2,loss p3,loss p4,loss p5,loss p6,loss p7,loss p8,loss p9,loss p10,loss p11,loss p12,loss p13,loss p14,loss p15,loss p16,loss p17,loss p18,loss p19,loss p20,loss p21,loss p22,loss p23,loss p24,loss p25,loss p26,loss p27,loss p28,loss p29,loss p30,loss p31,loss p32,loss p33,loss p34,loss p35,loss p36,loss p37,loss p38,loss p39,loss p40,loss p41,loss p42,loss p43,loss p44,loss p45,loss p46,loss p47,loss p48,loss p49,loss p50
"m=6, M=7, b=5, n=100",231.61505261757395,219.1049625474228,162.32468056459678,180.8104131250995,236.17004844784455,236.17004844784455,230.71156405789452,167.62175534067495,237.90708150294694,237.90707744418899,231.61505261757395,219.94722555480388,222.17014989373803,222.95971301750524,229.12127842224498,237.90708486774463,220.8026596003954,76.48570232688942,194.75918323640272,215.0051292298405,237.90708476955652,237.90708476955652,215.71967577237842,219.72723403874957,237.90708486774446,237.90708486774446,222.17014989373803,237.90708486774463,208.25605974661903,227.80964178626672,233.93723759364866,233.03559626749603,128.71652297574758,206.49145662490236,219.94722555480388,199.2267886076649,166.7564680372145,192.74469855552,237.90708486774463,222.43849332938237,194.31229771385074,-17.68175856162096,228.63840416174668,112.02269060032735,221.26658483847342,161.80065913679618,170.10442972640496,39.18229456400681,179.88802801321123,233.15615266651756
"m=10, M=1, b=1, n=100",360.7778144509508,345.2807770898031,336.7642257960627,321.40778450036424,324.7916168054478,370.1283433900296,238.24343044911097,332.2229687206394,370.1283433900296,122.62329164687429,337.6421063434134,349.0158108618654,370.12935371787967,354.04533221608654,370.12798633916236,310.9972515058662,357.7610662028252,370.1283433900296,325.3575796466406,370.12871743037294,313.0237733487276,327.5917524261905,59.08875970161451,85.8881305758647,289.0601863390939,-106.13292470528881,357.7610662028252,325.3575796466406,365.3002105292437,197.92469182463336,309.2398261965196,341.799274017203,229.83520181071734,87.75610695197656,340.8529266447776,357.101812224493,295.33162992650426,307.70971212000313,305.741410812597,369.21973656105104,275.00382538871446,246.8153330294165,370.1283433900296,365.3002105292437,321.3723776304644,361.025211333276,289.4985587179224,294.3038421654754,314.1809850364669,-3.157917617114215
"m=10, M=1, b=3, n=100",521.5294843283021,521.5294844096592,521.5294844096592,418.15157991866795,435.7485316131937,484.11894500081524,521.5294844761247,521.529484186115,318.01117157641943,489.97470525614796,521.5294842895922,512.3255045880932,430.9164998560495,521.529484215503,194.74169575961378,521.5294844694198,521.5294844363989,521.5294844363989,521.529484436401,449.5530276022656,279.3465618939862,418.0131001723124,471.8509727766598,333.833182314371,431.81537314464424,155.2184467178527,484.4284331208487,326.8997673095616,506.72824504775133,489.0521262100707,15.183998175746261,315.8919988419284,457.9887071689677,482.57225233677207,22.2233359353761,473.9944124986815,499.1712493892028,521.5294842895929,521.529484436401,208.1756084969857,521.5294842224404,519.542849982439,521.5294844799911,521.5294842525769,29.430157831943916,490.55157436883,466.82388834583463,406.7022164881194,392.7562072112045,425.30648045907554
"m=10, M=1, b=5, n=100",371.2131811102319,409.0664098087754,364.1553479242101,409.0664098087849,350.42918990774274,409.0664098087684,271.55170795572434,183.8332951061642,409.06640980876887,196.23154530945558,150.01796677576024,390.45144399166173,226.79027186090818,232.16114910742962,409.0664098087679,292.4155400389177,349.8445258007941,409.0664098087584,389.10155902084597,352.0526931228443,389.19796253197563,381.63098129231594,409.066409808769,409.066409808769,393.1360481813938,409.06640980877484,243.28851760304798,273.7220467493876,142.01152005442543,368.4050958877115,409.0664098087883,340.9684948425536,409.06640980875846,348.6468065571307,383.87572650597644,-123.05741964628649,354.28715722027374,208.9909691615888,346.193918989664,349.70338851511787,409.0664098087651,409.06640980879644,409.06640980876927,409.06640980876693,409.06640980877637,409.0664098087748,371.38152644368876,366.9970749981984,409.06640980878495,409.06640980878495
"m=10, M=4, b=1, n=100",258.77290039195634,258.77290039543254,258.77290039287556,200.7889651491863,-10.07999519112122,258.7729003930515,237.51345158726144,238.63248899887913,223.860097626634,171.88666128935222,191.63987617943513,149.7827889754212,241.84205748314727,145.98542579839358,59.55982413665418,-43.838422480491275,130.42180926139727,237.4586027959982,209.561410397156,218.86830065413778,36.27793558825507,52.39429799694571,249.33098746830962,258.77290039033267,258.77290039136574,217.99217548427933,206.58764284797667,247.89078257080234,139.5860290045585,238.50842858355298,201.38113176222933,258.7729003929238,258.7729003917991,252.2506562253813,255.48174811278568,216.2005108300917,258.77290039368097,157.53062734568712,132.81999534890195,258.7729003917061,258.77290039287556,77.89926780952868,191.84790236580503,141.06624487915022,186.53485217438146,258.77290038961564,165.13970266765585,252.18053755978394,215.4183725206069,216.20614438831342
"m=10, M=4, b=3, n=100",208.93813669869562,91.06583085275108,171.47211967791662,346.7520122712558,301.62453100994367,372.7687536755365,372.7689599142303,349.82913490630176,309.920241239156,372.7688120426499,372.76873137034295,153.93063581881333,337.1324127413035,372.76858932697996,357.84713527516953,334.2317684541151,372.76881069592343,249.78922903012156,372.7688120426499,372.7687630926142,343.5506809196852,176.22492087913605,306.118042027521,372.7688284663487,117.96874534818903,359.57769091471914,372.77019945636306,372.76801742637275,78.27543916180778,372.76956815535567,372.7681780654901,342.0499145587013,372.76884740733306,372.7689599142303,308.9000305866707,372.76876637179237,372.769568155356,372.769568155356,231.43280969979492,294.12383729903127,326.14332826423936,372.7687178022623,250.8028049349414,356.60223827395475,298.59750517921907,-204.9820932810996,341.92199740146737,372.7687630926142,199.57769998607407,265.82110575479135
"m=10, M=4, b=5, n=100",190.44211111036412,78.79729132386096,211.70369368915118,194.89762959886693,218.9487951562979,222.95185580738348,124.49490752137072,180.3937170782903,220.92898784567797,225.97147954518252,182.31023951957692,193.9610603860226,189.26600761449666,96.16293764598234,196.3344120526222,113.57552706831103,218.9487951562979,224.24339100397927,167.9403796823319,225.97147954518252,58.03570588743899,218.9487951562979,214.75215857483553,224.24339100397927,197.44465298442333,206.04020555199608,202.44811769330448,209.12573207259186,144.80857489690814,171.14416596342164,194.94313509774975,220.84533819795453,192.7932314202081,216.037373915933,196.63268350904946,220.84533819795453,157.30234771048552,215.4528873421362,-123.7494550902478,-95.80905057458985,218.9487951562979,225.97147954518252,206.9064773261821,156.29098665070154,96.46327164604601,184.13604948344548,189.37400225948872,230.92930993199235,182.45967813666766,163.6461838115599
"m=10, M=7, b=1, n=100",297.88460553792737,297.88396169212064,282.40234874774666,297.88459256426495,297.88455219900027,255.3753490721743,297.88502555262085,297.88502555262085,280.3320002496598,297.8850599755249,265.27858363157617,297.8845759591852,297.88461797713734,297.88472678473966,212.13365574156379,136.55376314967322,15.792684520241671,262.4972504227731,297.88460509681846,268.0948785989968,276.9504291610133,297.8847633299676,114.6138262757795,297.88492008119357,297.8845720737432,210.94738807110167,249.06798063024374,297.8846917557554,297.8847377106136,276.5409746972396,257.60039477727923,270.96947166186476,169.9488458627095,212.1605704855595,277.38354148530186,297.88459256426495,274.10263661486033,92.79772041573537,273.4338311678931,193.20673303509525,297.8845720737432,297.88440546104187,297.8847377106136,135.9981620326409,297.88482016465275,297.88501993950877,205.6065102275195,289.6869793501273,-77.93274268565814,270.86543960503155
"m=10, M=7, b=3, n=100",122.82649413918318,131.22976419957257,173.728974093165,214.4368603489605,238.54778638324717,254.58561615270798,13.761185273858842,254.58561615271333,254.58561615270528,254.58561615271307,239.35895537408663,243.31024527410426,218.94187362758186,254.58561615271307,254.58561615271176,226.87871578933388,254.58561615270654,254.58561615271222,105.88519556621765,74.89799754457428,254.58561615270847,254.58561615271176,254.58561615270528,232.53908328997898,255.20361363807123,254.58561615272095,234.79608676800703,13.536231101181109,254.58561615271032,254.5856161527054,182.8767257417825,217.81945957996456,254.58561615270344,167.33804189175797,230.26776578042052,254.58561615270105,214.9911754213015,199.48823214794294,254.58561615269855,254.58561615270654,223.65277395394563,218.63902880671748,254.5856161527151,213.0412148382099,254.58561615269184,254.5856161527211,191.37735003645727,229.64656590136843,96.64528151922207,152.5376980709096
"m=10, M=7, b=5, n=100",170.16219493667757,305.1307494490617,289.29779804542426,269.61102184940285,182.3600675987688,297.86994361644963,305.13122291751245,290.38742154235314,305.1318577144901,279.1482378918463,305.12901749442494,305.1269586274624,251.73813780966725,305.1303054924359,305.12951234927374,305.13095745354815,252.8030315895607,150.4449444457631,305.12986095855786,262.6313904491677,305.1293277043345,247.51750730706232,305.130957453548,305.130957453548,305.1319612661093,278.6662176825289,252.70733276142954,278.144122059519,198.81495954311734,305.13066801216826,217.46989719395827,69.01066102637054,305.12951234927374,305.13061431575807,282.17092572819996,169.14715703601445,305.131033682947,305.1299452925299,305.1315861860898,305.12870645120927,305.13015993428024,261.6457624747693,269.7232752536018,222.56072371203726,199.12258717608864,214.74958550616847,305.1290657243067,305.13166310051815,294.19300549434973,243.5391030416073
