Iteration,Min,Max,Average,Std. Dev.
0,0.111,31.675,6.754,6.808124995885279
1,0.111,31.675,6.754,6.808124995885279
2,0.11,28.834,5.807,6.270594026535442
3,0.062,26.679,4.377,5.310053589355135
4,-0.072,21.862,2.915,4.247822057082754
5,-0.115,18.08,1.962,3.4448115099492753
6,-0.113,17.639,1.422,2.9491434730043773
7,-0.116,15.673,0.997,2.4107785526804357
8,-0.109,15.586,0.705,2.0993619212794505
9,-0.12,12.038,0.41,1.4198686011559947
10,-0.115,9.981,0.319,1.1245723805136965
11,-0.12,4.372,0.197,0.5576589654828845
12,-0.088,2.454,0.137,0.33878829584533743
13,-0.12,1.221,0.094,0.2046882721064733
14,-0.12,1.405,0.061,0.18320968575596916
15,-0.121,0.91,0.044,0.15369933379757042
16,-0.118,0.603,0.018,0.12173268814724379
17,-0.122,0.606,-0.03,0.11592071664056425
18,-0.121,0.476,-0.026,0.11130254674532646
19,-0.121,0.411,-0.025,0.11811889233442134
20,-0.122,0.33,-0.049,0.10155316738672877
21,-0.124,0.814,-0.031,0.16460276631456286
22,-0.123,0.821,-0.043,0.13608951205096384
23,-0.124,0.384,-0.053,0.1004242881383385
24,-0.124,0.463,-0.056,0.09942909997982234
25,-0.123,0.578,-0.049,0.12853493923530623
26,-0.123,0.829,-0.04,0.14360383564962143
27,-0.123,0.841,-0.042,0.15039927524168586
28,-0.124,0.645,-0.058,0.12473104013961257
29,-0.123,1.006,-0.018,0.17818484096289067
30,-0.123,0.979,-0.064,0.1332332321816428
31,-0.124,0.318,-0.057,0.09325297121961035
32,-0.124,0.781,-0.059,0.12341853255401196
33,-0.124,0.548,-0.037,0.13671325278292726
34,-0.124,0.435,-0.033,0.13281841851276507
35,-0.124,0.557,-0.048,0.11679250178413915
36,-0.124,0.624,-0.041,0.13086488352903217
37,-0.124,0.36,-0.046,0.11240484234927069
38,-0.124,0.646,-0.044,0.13756239354422176
39,-0.124,0.718,-0.032,0.15952334359847586
40,-0.124,0.68,-0.04,0.15699766800367676
41,-0.124,1.079,-0.024,0.17239370776132568
42,-0.124,0.863,-0.035,0.16711052802193085
43,-0.124,1.014,-0.011,0.21326403417545933
44,-0.124,1.349,-0.017,0.2113258209009445
45,-0.124,0.498,-0.056,0.10406447312832878
46,-0.123,1.119,-0.019,0.16834661332498502
47,-0.123,1.007,-0.03,0.16008372518934721
48,-0.124,0.637,-0.025,0.15416638351553252
49,-0.124,0.66,-0.026,0.16021031135372632
