Key,loss p1,loss p2,loss p3,loss p4,loss p5,loss p6,loss p7,loss p8,loss p9,loss p10,loss p11,loss p12,loss p13,loss p14,loss p15,loss p16,loss p17,loss p18,loss p19,loss p20,loss p21,loss p22,loss p23,loss p24,loss p25,loss p26,loss p27,loss p28,loss p29,loss p30,loss p31,loss p32,loss p33,loss p34,loss p35,loss p36,loss p37,loss p38,loss p39,loss p40,loss p41,loss p42,loss p43,loss p44,loss p45,loss p46,loss p47,loss p48,loss p49,loss p50
"k=5, n=50",-0.02625407538888215,-0.02625407538888215,-0.02625407538918903,-0.02625407538299351,-0.026254075397748065,-0.02625407540306681,-0.10882927168856253,-0.15504984736887983,-0.02625407538888186,-0.026254075389655466,-0.02625407537945092,-0.06740954067328052,-0.02625407538888186,-0.08055958926404122,-0.0961867167632585,-0.0982648099599411,-0.026254075383300237,-0.026254075389655466,-0.026254075383300237,-0.06974511413838141,-0.06140322371369468,-0.02625407540166301,-0.10099356604721155,-0.10865527545325442,-0.10817684954639771,-0.07463620773475067,-0.10304363800365125,-0.10702891421678379,-0.09874365607240226,-0.09681162001746964,-0.026254075399348008,-0.02625407538981392,-0.026254075395805182,-0.02625407540691675,-0.0732819735055425,-0.08577487651106934,-0.02625407540027955,-0.09435938107060203,-0.09791248019294123,-0.02625407540629657,-0.10262361019548884,-0.0881139519442817,-0.026254075394885522,-0.02625407538923373,-0.026254075389655466,-0.02625407538888186,-0.07046897156448732,-0.12851045045604376,-0.11471232609724331,-0.08526142831889542
"k=50, n=50",-2.4994194598201203,-2.586707612761316,-2.49939368004663,-2.5081583005674184,-2.5532760592979153,-2.533169533207625,-2.503009645845131,-2.501757942550847,-2.6599480335367462,-2.546291369984121,-2.4997900745992996,-2.5573850056569825,-2.555965911592089,-2.5389026700311104,-2.536815393564465,-2.582653706133391,-2.5604850209510683,-2.5303991525936587,-2.5333456891213215,-2.4997900745992996,-2.6340295003704117,-2.6622096788666245,-2.49939368004663,-2.6434487433500164,-2.573198580657607,-2.4997900745992996,-2.5747287272860624,-2.4996435572243705,-2.49941945982012,-2.49941945982012,-2.4999309674654873,-2.5336644881581676,-2.518124402908642,-2.5319063037081446,-2.5631460568167497,-2.578093334016246,-2.533698469875304,-2.591258355337437,-2.5994512068494666,-2.5333738063241045,-2.5448214386979715,-2.5020654196276704,-2.5417994784901845,-2.608248543996644,-2.5344656788439455,-2.515077997488281,-2.5003106169855145,-2.4986614162662297,-2.666612463411374,-2.6370108736911373
"k=100, n=50",-4.325368467213685,-4.201960649734693,-4.201367018887714,-4.51418343044211,-4.201914464343631,-4.202498897357339,-4.203753262814635,-4.2822828054784186,-4.201367018887714,-4.584296147856903,-4.201712450971861,-4.201771612835198,-4.201960649734693,-4.5698930058130065,-4.302232620487732,-4.201960649734693,-4.2028795625272535,-4.422399899228174,-4.406481776161317,-4.271990712783553,-4.315508474010135,-4.25455020684934,-4.202127191237404,-4.201291409974911,-4.2027070772807855,-4.365946410813868,-4.464052487632829,-4.285957022984229,-4.359443399732971,-4.200819884561524,-4.312786899493792,-4.201389520778877,-4.444584599939703,-4.307900394074233,-4.256390811969034,-4.202180086281435,-4.201960649734693,-4.333866374209331,-4.249616976795772,-4.328788330264332,-4.202727966773838,-4.201314426438484,-4.278333213142019,-4.3041073772523335,-4.201960649734694,-4.408851186913293,-4.484389601388392,-4.302119620783672,-4.399648450169822,-4.201548039192747
"k=500, n=50",-18.324828744362428,-16.94681190900786,-17.575480600720518,-17.63689882978513,-17.121195779888225,-16.71106969381249,-16.71106969445398,-16.952631620793333,-17.207828689087897,-16.71106969845203,-17.60948122058473,-17.093014023276666,-17.672253586626297,-18.251866385350056,-17.082807874192458,-17.280059593788195,-16.71106969524784,-16.711069693544637,-17.302433074633544,-17.239820084369114,-16.711069691899493,-17.85398601612429,-16.711069712483212,-16.711069692571964,-16.71106969561005,-17.662883857904102,-16.945410547939368,-17.80644230236191,-16.711069697331904,-16.711069692159025,-16.71106969522295,-16.711069709681265,-16.711069695353448,-16.71106970284614,-18.498935671864693,-16.84340222484762,-16.711069692159025,-17.18719313532845,-17.37232998283467,-17.309009763357032,-17.581825977508668,-17.47048951081225,-17.63685801691162,-17.030131487283505,-16.71106969607341,-16.711069696254718,-16.711069696164802,-16.71106969607341,-16.957397159167588,-16.711069696254718
"k=1000, n=50",-34.802903293997495,-35.66532367169278,-34.607332992637254,-36.5169995835371,-34.6050897518507,-35.51429387385764,-34.60332858387004,-37.07793685414431,-35.45877123483274,-35.351625146308386,-37.21461174591543,-35.55351110656606,-36.756134456216415,-35.252495178867186,-34.602870709355436,-39.96408258140555,-35.754092721470464,-36.13127658350442,-36.21465256449041,-35.07445736022767,-35.47095255605266,-36.63247049271912,-37.34991309221549,-35.83199127996408,-34.6037514144795,-34.60383064666694,-36.03605180626764,-34.60346561339588,-36.79675302314013,-36.79061888556689,-36.20469591636645,-34.602590168702164,-38.247517955850874,-36.80867135899396,-36.36773399959732,-36.1066609454404,-35.07177422960045,-35.51429387385764,-35.83613975461885,-34.60406928865086,-34.60355236860464,-36.08245511117744,-36.788949019482914,-35.75723822630265,-34.60203578052318,-35.511216540446405,-34.6037514144795,-35.755462477683146,-36.22769819858504,-35.07445736022767
"k=5, n=100",-73.56075004577914,-74.72383294124688,-74.11128743173184,-73.56278644503838,-74.23920525556353,-75.24768839188326,-73.56458166010661,-74.43183913670325,-73.56320359547125,-73.56447541590494,-73.97617925796034,-74.50291492193041,-74.77268698319317,-75.48997508938412,-73.56573809437546,-73.92968317219955,-74.21721593523867,-75.28195840617244,-74.20575242366999,-73.5735921663688,-74.30759744867382,-73.56015206932165,-74.24837712630274,-74.47501653008719,-74.74472542398988,-75.32384596331443,-73.56337364572153,-73.56015206932165,-74.99154183008561,-74.5012071008155,-74.58118118136059,-73.56313301942615,-73.56185148174629,-74.27875575015379,-73.56015206932165,-74.58811063918039,-75.42783740746322,-75.78805996096578,-74.4123666418552,-73.56417735600665,-74.69423860336813,-73.56566286178838,-73.55986622400444,-73.56629759449456,-75.44101231711988,-74.67946130450837,-74.57906017284385,-73.56425510885482,-73.56331884228108,-74.58871915230226
"k=50, n=100",-64.81213898425807,-63.36684641326144,-62.353655782628344,-62.16438090850629,-63.09423121077637,-62.40061727198831,-62.73005513393769,-63.780571711931906,-62.79886484051794,-61.90378403296049,-67.28298659096517,-66.83876327138623,-62.353655782628344,-62.36291027273204,-64.86719251152948,-62.28433936110084,-61.086693461665895,-61.086693461665895,-66.34889727364855,-64.54498143277074,-62.56658191854496,-61.947559804990846,-62.12304146601238,-61.570240980546785,-62.16438090850629,-62.67846627915625,-63.148574868932386,-63.76835303703056,-64.40806812167597,-62.55899906683803,-64.17002776413831,-66.7395730031911,-63.60726317548799,-62.23519117240729,-61.086693461665895,-61.570240980546785,-62.89348779065881,-63.45237415701604,-62.85252930181968,-64.3218917526569,-63.0630625868978,-62.75901144146984,-63.295366165995254,-63.83703429126632,-63.948744329842846,-62.59183551467877,-62.544216548851665,-65.15378329332763,-61.68665445360591,-64.9496977734588
"k=100, n=100",-50.95922655103386,-53.90165580639576,-52.48151530548306,-53.752421872739184,-50.9609872350835,-53.088178813388296,-50.95958120494764,-52.353943419613714,-52.84308718160999,-50.96541048970598,-53.182526716069596,-52.91467607702564,-50.96201884429232,-51.84819808776063,-53.49470320033499,-52.49966257304669,-52.78089098330399,-51.94452651761319,-50.96149261215674,-52.53611924714535,-50.968491537886734,-52.31507191209781,-52.71222424132286,-50.97654519678611,-50.9618255568888,-53.09708263237131,-50.96393910412569,-52.70352567524884,-50.955989154608154,-52.062315264170344,-54.214935039134275,-53.75353673531415,-52.787900922367044,-53.16368595919428,-50.96098723508355,-50.963243519555576,-52.38046159438363,-50.95656616626757,-50.96098723508355,-50.96098723508355,-51.73764343370149,-51.572076319611,-52.81896100495897,-51.40746327366842,-50.96098723508355,-50.963243519555576,-52.76414709222613,-53.019007599422274,-50.96205137022158,-52.19564819369514
"k=500, n=100",-72.20053210421831,-72.51238161549264,-71.67305740380003,-70.43170216982156,-72.64452089835528,-70.43134761983922,-72.86855081359472,-72.33445261839161,-71.08594168026613,-71.5006946450007,-70.43048226758923,-72.35742782233655,-70.46572575551056,-72.32794529523092,-71.50510238277421,-70.5825829606424,-70.44939221730633,-70.46909343529377,-70.43048226758923,-71.65848818343338,-71.02482100021616,-72.13479160715407,-70.43048226758923,-73.51531097483888,-71.99375862241266,-70.43134761983922,-71.53528383421438,-73.63528526178013,-70.50893898041124,-70.5513315798662,-72.64849470781604,-70.5424601571102,-71.58632836170683,-71.45503902683294,-70.45894829097745,-70.43275431100318,-71.5117763892924,-71.46856261541645,-73.17927374462289,-71.3394762557862,-71.16179487435548,-71.78764109405881,-72.12209791034853,-71.94704222347738,-71.01026036592603,-71.60643416693496,-71.06040377228832,-70.61146993629335,-72.44794174702237,-70.43048226758921
"k=1000, n=100",-75.96331841980901,-75.96331841980901,-78.93589264772848,-78.56591423044388,-77.03295826709635,-77.6668088501192,-77.812923776001,-76.17095560632066,-77.2735368992165,-75.96331841980903,-77.25067979012499,-76.76453208350982,-76.69827660584224,-77.13406924103234,-76.48742019692506,-76.46519328676638,-77.66925003438057,-76.69827660584224,-77.08199840918202,-75.96331841980908,-76.7092501155701,-76.46718500272573,-77.30205059462399,-80.52646048829405,-75.9633184198091,-75.96331841980907,-77.45663298109923,-77.23954364921401,-79.92164281910918,-77.58703199249948,-77.33771214027396,-75.96331841980907,-77.35369616604802,-78.22393118153582,-77.60975952551728,-76.98749888531356,-76.79246402135902,-76.58941910559088,-76.76655325938617,-76.08417779487539,-76.17095560632066,-76.69827660584224,-80.23067375372128,-79.11671840690627,-76.75673734442776,-76.64887306451138,-80.05805457514663,-79.68067922187547,-75.96331841980903,-75.96331841980906
