n,k,loss p1,loss p2,loss p3,loss p4,loss p5,loss p6,loss p7,loss p8,loss p9,loss p10,loss p11,loss p12,loss p13,loss p14,loss p15,loss p16,loss p17,loss p18,loss p19,loss p20,loss p21,loss p22,loss p23,loss p24,loss p25,loss p26,loss p27,loss p28,loss p29,loss p30,loss p31,loss p32,loss p33,loss p34,loss p35,loss p36,loss p37,loss p38,loss p39,loss p40,loss p41,loss p42,loss p43,loss p44,loss p45,loss p46,loss p47,loss p48,loss p49,loss p50
50,5,-0.127782379648748,-0.12475085375649785,-0.1621150338094402,-0.1257047782160125,-0.12673696525566955,-0.15002304262896474,-0.1764258688231943,-0.12628155000549787,-0.1575950793152858,-0.2265910018808211,-0.16447606832276615,-0.12582977999326495,-0.14821358058778122,-0.12595776757611515,-0.1716781603762195,-0.15811352086344596,-0.12520181982394762,-0.12520181982394762,-0.1428960607278362,-0.14513744698989042,-0.18976197375020318,-0.1598800153876376,-0.14059194365063896,-0.15825286274169917,-0.16066711197427275,-0.12520181982394762,-0.14714782532006018,-0.18716864519325235,-0.16987838586612972,-0.18280826357269042,-0.16733072533794927,-0.16251750499014317,-0.16498265814157148,-0.1263649551245525,-0.1550085580244077,-0.1257047782160125,-0.12614178275657492,-0.1257047782160125,-0.12595268087422745,-0.1644416643273139,-0.15581405565951703,-0.12596688207900703,-0.14409690508674733,-0.14023542920135887,-0.1712526108164224,-0.17031579583874376,-0.12608514869566728,-0.12614178275657492,-0.14951245360630927,-0.18839240114304306
50,50,-6.645154945837306,-6.633258355757158,-6.664997327732926,-6.608379321271399,-6.645828738645382,-6.6214778675869175,-6.608379321271399,-6.614635730914256,-6.730022890036604,-6.7164761241193895,-6.629442950055376,-6.640275240849093,-6.631853439672113,-6.609042105985749,-6.613332725209061,-6.632634778992989,-6.698468393142572,-6.61597762401261,-6.643097999842005,-6.676887227165272,-6.622607565766604,-6.604551871111066,-6.620445806915902,-6.627855165193876,-6.635249578534351,-6.628599521885829,-6.724360255145339,-6.643041618138706,-6.608379321271399,-6.638816293443194,-6.611539616146712,-6.632687032808891,-6.608379321271399,-6.6083793212714,-6.684403400473464,-6.645373076187422,-6.679219861058477,-6.6386065232534195,-6.638616738703965,-6.671650093720264,-6.626715717407577,-6.629965390129373,-6.608379321271399,-6.624188617492241,-6.6666200880227064,-6.729178442676318,-6.653964396856676,-6.650683864920197,-6.629203848840279,-6.608379321271399
50,100,-10.498632239661587,-10.628621321355588,-10.36174670121833,-10.40246173151749,-10.45913808947688,-10.287789356721206,-10.674458801258202,-10.456537525113076,-10.571321817599518,-10.58626362768205,-10.388835995592597,-10.650814184881893,-10.284812088833073,-10.250822934599904,-10.295020811195442,-10.342879346465827,-11.273288768529437,-10.872370808286512,-10.287789356721206,-10.328114297572116,-10.471428286204176,-10.295020811195442,-10.341631352981565,-10.514015807438813,-10.303192981930968,-10.284951948510166,-10.542719600180659,-10.546092354984726,-10.58624380110538,-11.116932108763674,-10.29502081119544,-10.29502081119544,-10.284812088833073,-10.42857543454271,-10.854074326729542,-10.658973840309185,-10.250822934599904,-10.345402671907962,-10.295020811195442,-10.301516462142516,-10.669042373586638,-10.259997889641657,-10.480172306593651,-10.295020811195442,-10.625275680117007,-10.47583810231023,-10.287789356721206,-10.284812088833073,-10.407572642293646,-10.359040290757974
50,500,-45.839230562874036,-45.839230562874036,-45.90102687816654,-45.80365867703094,-46.46686686533191,-46.071197720740784,-45.96847635918941,-46.18174388187817,-45.757588369426756,-45.757588369426756,-46.715336408221425,-45.8690124523866,-46.5973848327536,-45.873579562565,-45.839230562874036,-45.839230562874036,-46.2294408113494,-46.021412144109895,-45.84271892310536,-46.55130455541094,-45.83923056287406,-45.83923056287406,-46.144324986170474,-46.17578208127783,-46.37358786879301,-46.96617724141032,-46.83375525927342,-47.03248614520586,-46.23505115353374,-45.829352877019424,-45.839230562874036,-46.122487409471866,-46.53014611521561,-46.89705581368137,-46.23991715699153,-46.14379948364353,-46.60910535670413,-47.79584233659545,-46.34223980619399,-46.52326633340988,-45.97418020742239,-45.96423536937778,-45.9325271618396,-45.84487117252787,-46.35122775584701,-46.29174776161082,-47.23352689018263,-46.6827690727564,-45.839230562874036,-45.84487117252787
50,1000,-36.32780581825847,-36.192077070289166,-39.07040315660734,-37.2915936631304,-37.19743933678626,-36.324406121230126,-36.57346397699481,-36.327805818258454,-36.32780581825847,-36.70770725490994,-37.70446772732177,-37.21998753788426,-36.80981305826284,-36.137690786504585,-36.327805818258476,-36.373648058465356,-36.965228912840544,-37.443934442239545,-36.208455230885804,-37.062144049923404,-36.32780581825848,-36.32780581825844,-36.32780581825847,-37.33927584810565,-36.373648058465356,-36.32780581825848,-36.32780581825847,-36.208455230885804,-37.923434332273146,-37.963380550641965,-36.42278665325769,-36.871150654068664,-36.45775895609502,-36.32780581825847,-36.32780581825845,-36.32780581825847,-37.91208224090776,-36.30407158628583,-36.775592648490246,-37.318560453953566,-36.32780581825848,-37.367342679558675,-37.964281832605316,-36.327805818258454,-36.983287320399626,-37.25295895260774,-37.828249756382455,-36.94095588895923,-36.32780581825847,-36.327805818258476
100,5,-0.4227233558375647,-0.371321719257334,-0.389619004058644,-0.3701822111249218,-0.34530189345387025,-0.3443151173809334,-0.3780997027745582,-0.32844759203048113,-0.37292619770340724,-0.4060494155369423,-0.3474895487062091,-0.32844759203048124,-0.38611199366442256,-0.35650335253206505,-0.37912749665031414,-0.35180050569199023,-0.3529928955703241,-0.37639884905495796,-0.37701489742258587,-0.40941534595853013,-0.38549739325110044,-0.34606664295613493,-0.35180050569199023,-0.3371052684445096,-0.40380364190512985,-0.4067724727542899,-0.3781981270553368,-0.36881994978820404,-0.4127653216336026,-0.4064930883232197,-0.3536740270893362,-0.3500266488515373,-0.388894346336758,-0.35367402708933626,-0.38449541127517795,-0.37671113888978314,-0.36227239382936877,-0.35821297069705266,-0.39636351840156325,-0.33709070294906385,-0.35428165220583396,-0.3974125531172533,-0.4283130565454515,-0.4145807546338986,-0.3623661639085722,-0.3725875637423164,-0.3921598663544168,-0.36758207769030454,-0.4057111099604355,-0.40705172143504004
100,50,-9.340084302788478,-9.383690845948717,-9.393539760964389,-9.408518887343535,-9.402772949726806,-9.322150251495946,-9.416093095742074,-9.467781607111117,-9.371993561949752,-9.494741145870135,-9.361141682262222,-9.36345152338629,-9.442870058649751,-9.433919293117288,-9.392864518141087,-9.477628174929123,-9.385468211864655,-9.322907431679427,-9.380825428700856,-9.388765588288415,-9.360754589372139,-9.493486566377275,-9.71176140186321,-9.728274598108744,-9.389487277636624,-9.379295333680691,-9.48049088078173,-9.628056638692932,-9.358669287508068,-9.40218817997763,-9.358754555753087,-9.450065400467167,-9.43782250551579,-9.331981782366812,-9.455017836382437,-9.695975283983366,-9.552417276458874,-9.482016699294633,-9.393545818809534,-9.387830204845116,-9.395217048788341,-9.36866909029771,-9.36142537997677,-9.368719960600062,-9.373768383770205,-9.42875120354658,-9.375341811645141,-9.375341811645141,-9.374309583447518,-9.475486982088563
100,100,-17.160558506322015,-17.108942938820874,-17.212553336070503,-17.1331020750833,-17.096449238026548,-17.096449238026548,-17.16862957322995,-17.214717721212256,-17.242161533381125,-17.13995370817725,-17.094041490005083,-17.17210159351368,-17.172542624186864,-17.096449238026548,-17.096449238026548,-17.14972517042645,-17.13424786546093,-17.096449238026548,-17.103780959775236,-17.195544146324984,-17.120276594436994,-17.096449238026544,-17.130627821181804,-17.09884350803291,-17.15846033193921,-17.24809374845602,-17.048362994271635,-17.213112135991647,-17.190143097759375,-17.225578510767278,-17.103793248600336,-17.108337953090388,-17.173345191442213,-17.21281820012956,-17.22479589329979,-17.2773102564325,-17.096449238026548,-17.111332416726686,-17.1918504900994,-17.100116747050112,-17.076828955904393,-17.096449238026548,-17.196622238266897,-17.205090886016713,-17.160291679401695,-17.15546627734527,-17.31308320522211,-17.23574950417283,-17.15134059372623,-17.116106052571343
100,500,-78.4732390717439,-78.25347830573449,-81.37329922731078,-81.14812789324641,-78.35318288012778,-78.56229003907036,-77.97753644639826,-78.30200864616823,-80.18260066851525,-80.36631239847465,-77.97753644639826,-77.8896225037621,-81.26138445029498,-81.01993999389236,-79.60275758973592,-82.86459168666065,-78.45729185526388,-79.63407733728174,-78.9290683540917,-77.99056383086057,-78.3144161390659,-78.69526797584001,-78.82647766118484,-79.0912425958871,-78.22367017486987,-78.37474713513069,-81.37402544697909,-80.03598144598078,-79.04017513496649,-78.10336128049241,-78.52501843591969,-78.20868397739014,-77.8896225037621,-78.19465522587213,-78.90279911371739,-78.94332080203466,-83.45227090983475,-85.08129365725648,-78.72302602389497,-78.33441065890565,-78.46597000324866,-77.97753644639826,-78.30200864616823,-78.53619519325585,-78.14051280932168,-78.3144161390659,-78.35372946698936,-78.30200864616823,-78.51728372726747,-78.32403615097196
100,1000,-104.79775531208479,-104.7738719482376,-108.64442845015222,-104.83327918760654,-104.87352515941963,-105.57136595830669,-106.61261154924526,-104.41003354848927,-104.72387656928713,-104.8178591482191,-104.4041382928854,-104.06402404376624,-104.25959666657926,-105.09423640883044,-103.74034410178088,-105.37921851318545,-104.67421876403552,-104.04783140633481,-105.42909400818596,-105.34147464247262,-105.5923958773904,-106.17883072295639,-104.23334904010707,-105.16442637756069,-104.1918776570504,-104.21728072838438,-104.84385719772308,-106.31882434817118,-104.10292721823119,-104.62729659934661,-104.20648825188316,-105.27340515756875,-106.17334301897256,-105.34670512572066,-104.50076730046959,-104.84814209647361,-105.09352722836402,-103.99699181683363,-104.87622981574039,-104.25959666657926,-105.16947089430967,-105.72421129870845,-104.83078656576009,-104.04783140633481,-104.42031357230373,-104.78403603167054,-104.49729913879361,-104.17083119544849,-104.64534992708612,-105.54797318550935
