Iteration,Min,Max,Average,Std. Dev.
0,1.639,19.734,9.093,6.119611718451688
1,1.639,19.734,9.093,6.119611718451688
2,1.579,19.72,8.877,6.005439573254421
3,1.425,19.449,8.455,5.779901033534107
4,1.373,19.318,7.976,5.5047408921171606
5,1.357,18.933,7.713,5.272304120099542
6,1.308,18.631,7.403,5.040269984494204
7,1.145,18.303,7.069,4.843129785836862
8,1.003,18.161,6.839,4.789391954683027
9,0.772,18.043,6.664,4.798768493825591
10,0.672,17.792,6.496,4.752503503282651
11,0.687,17.212,6.313,4.518853945982792
12,0.77,16.878,6.181,4.371987127593348
13,0.788,15.993,6.042,4.13391175296681
14,0.896,15.975,6.009,4.098105598633602
15,0.98,15.842,5.972,4.041180376482413
16,1.208,15.517,5.936,3.924530969559388
17,1.259,14.372,5.767,3.5738190531754523
18,1.45,13.652,5.682,3.344127509963061
19,1.785,11.85,5.466,2.7765907517614425
20,2.28,9.859,5.264,2.1515561518789186
21,2.42,7.645,4.946,1.4980729886032496
22,2.68,7.625,4.659,1.2160554249538837
23,2.772,7.309,4.458,1.254016091065154
24,2.459,7.14,4.407,1.2168258326433135
25,2.399,6.665,4.356,1.0858345659212763
26,2.077,5.642,4.214,0.9235390329627531
27,1.699,4.654,4.02,0.858658641071208
28,1.578,4.549,3.804,0.9044276597431942
29,1.446,4.323,3.543,0.9683328453650305
30,1.388,4.308,3.352,0.9926612454686714
31,1.374,4.304,3.117,0.9970310800448725
32,1.293,4.092,2.788,0.9350538530929217
33,1.352,3.899,2.42,0.8637997562209172
34,1.15,3.709,2.147,0.8042876285388548
35,0.732,3.626,1.862,0.8508905830605312
36,0.539,3.173,1.62,0.7477291001701618
37,0.548,2.914,1.463,0.6648435498582017
38,0.669,2.518,1.353,0.5443358815341766
39,0.952,1.867,1.192,0.3314381986322802
40,0.753,1.412,1.009,0.18950128976390443
41,0.573,0.999,0.861,0.14148070833066675
42,0.439,0.919,0.702,0.1608890505892873
43,0.339,0.718,0.535,0.12862088181968792
44,0.171,0.672,0.435,0.15913328524885922
45,0.07,0.492,0.333,0.14167746973014494
46,-0.001,0.464,0.243,0.14291081481078174
47,-0.053,0.363,0.182,0.13007047724664256
48,-0.059,0.259,0.116,0.11078819225149926
49,-0.068,0.223,0.073,0.09375064062454141
50,-0.038,0.159,0.046,0.06324535172249884
51,-0.065,0.099,0.026,0.05456846133199991
52,-0.058,0.071,0.005,0.04708951583074855
53,-0.068,0.049,-0.023,0.03917532883214012
54,-0.093,-0.012,-0.044,0.021897791427284628
55,-0.084,-0.039,-0.064,0.01657341288848893
56,-0.117,-0.034,-0.076,0.025924727438753514
57,-0.122,-0.072,-0.096,0.017835698711357224
58,-0.121,-0.11,-0.117,0.003699431074086305
59,-0.122,-0.085,-0.112,0.013088036454209799
60,-0.124,-0.073,-0.112,0.01616438314601085
61,-0.123,-0.098,-0.116,0.008773513104423189
62,-0.123,-0.107,-0.117,0.005566599435110545
63,-0.123,-0.099,-0.116,0.007601168261108822
64,-0.124,-0.109,-0.118,0.004716500665206504
65,-0.123,-0.102,-0.118,0.005968083998129642
66,-0.123,-0.12,-0.121,0.0011591433866312457
67,-0.124,-0.086,-0.117,0.011673566039178
68,-0.124,-0.071,-0.115,0.015892940516241374
69,-0.124,-0.097,-0.12,0.008153793347108416
70,-0.124,-0.081,-0.115,0.01640832592459234
71,-0.124,-0.081,-0.113,0.016854799712481456
72,-0.123,-0.094,-0.117,0.010351891871401368
73,-0.123,-0.088,-0.117,0.010896913495746443
74,-0.124,-0.088,-0.119,0.01095789302221978
75,-0.123,-0.114,-0.12,0.003345274130311655
76,-0.123,-0.116,-0.121,0.0023191541470236983
77,-0.124,-0.101,-0.119,0.006781213070622452
78,-0.124,-0.107,-0.12,0.0063762661952995545
79,-0.124,-0.11,-0.119,0.004595585943147438
80,-0.124,-0.102,-0.118,0.007250338248960352
81,-0.124,-0.109,-0.12,0.004495685511170101
82,-0.124,-0.104,-0.118,0.006280376886937746
83,-0.124,-0.109,-0.12,0.004857752779585533
84,-0.123,-0.108,-0.117,0.005371751379607403
85,-0.123,-0.085,-0.117,0.0116917427709687
86,-0.123,-0.09,-0.115,0.011196943743037665
87,-0.124,-0.089,-0.115,0.012313956347131373
88,-0.124,-0.108,-0.12,0.005370072879798073
89,-0.124,-0.102,-0.119,0.006528804311197391
90,-0.124,-0.095,-0.114,0.01180229714927476
91,-0.124,-0.097,-0.118,0.008476334928176912
92,-0.123,-0.117,-0.122,0.0021594251006755417
93,-0.124,-0.087,-0.116,0.01320725537642024
94,-0.124,-0.089,-0.115,0.011909721620268704
95,-0.124,-0.116,-0.121,0.002342209429431226
96,-0.124,-0.101,-0.12,0.006861029415387373
97,-0.123,-0.101,-0.118,0.00708412894975486
98,-0.124,-0.111,-0.121,0.00446564576600416
99,-0.124,-0.114,-0.121,0.002949701791032894
