n,k,loss p1,loss p2,loss p3,loss p4,loss p5,loss p6,loss p7,loss p8,loss p9,loss p10,loss p11,loss p12,loss p13,loss p14,loss p15,loss p16,loss p17,loss p18,loss p19,loss p20,loss p21,loss p22,loss p23,loss p24,loss p25,loss p26,loss p27,loss p28,loss p29,loss p30,loss p31,loss p32,loss p33,loss p34,loss p35,loss p36,loss p37,loss p38,loss p39,loss p40,loss p41,loss p42,loss p43,loss p44,loss p45,loss p46,loss p47,loss p48,loss p49,loss p50,loss p51,loss p52,loss p53,loss p54,loss p55,loss p56,loss p57,loss p58,loss p59,loss p60,loss p61,loss p62,loss p63,loss p64,loss p65,loss p66,loss p67,loss p68,loss p69,loss p70,loss p71,loss p72,loss p73,loss p74,loss p75,loss p76,loss p77,loss p78,loss p79,loss p80,loss p81,loss p82,loss p83,loss p84,loss p85,loss p86,loss p87,loss p88,loss p89,loss p90,loss p91,loss p92,loss p93,loss p94,loss p95,loss p96,loss p97,loss p98,loss p99,loss p100
5,5,12321.453321222552,12321.453321222552,12319.70906824535,12314.828582001166,12306.811345132242,12295.199061532803,12280.474312687196,12263.733793681398,12242.296747510254,12215.11238340805,12182.838732669841,12150.34087554024,12115.443797002097,12080.810188990761,12041.84067008357,11999.813603575887,11954.957831358215,11902.95598538138,11851.088483261958,11794.665932573675,11730.363921005262,11675.674846912249,11617.396743998605,11555.867663494686,11493.00699206223,11424.893294839543,11353.345382326042,11265.224878813733,11186.507496160466,11112.165052005912,11023.41164376984,10941.433490639825,10853.908555500824,10772.841103002773,10673.315943541325,10583.03727290512,10489.4511016833,10383.304394325281,10266.00324073593,10146.355008755316,10022.11292614202,9892.973670189736,9766.372236815205,9648.087043151709,9539.094119033023,9420.498553631398,9308.734675948946,9183.218593347105,9061.193997237271,8916.957312639914,8766.84021198395,8629.9087466282,8493.501674602285,8358.159544078357,8223.120360813697,8093.157552084031,7938.494678829165,7800.683681571709,7634.367406151168,7449.526986617526,7298.332839141096,7141.61063509642,6988.402645111966,6808.102602301613,6643.572353588228,6474.611103954227,6311.711056245049,6145.471627256047,5958.939444072334,5776.981310488291,5588.558648064982,5388.871774467128,5198.193143143564,4990.700088062936,4777.458497031378,4559.212582100472,4367.268473916219,4153.195077718764,3928.5167773365456,3708.922229695212,3489.972343407583,3260.377342355753,3061.8348146370517,2850.8812482940357,2626.587596194404,2396.5067580186087,2179.994844574917,1995.3386638233387,1794.0493885955275,1588.1508713631347,1413.8666193369477,1219.1879089820436,1032.2415174407747,852.2459515759624,725.7052848988051,599.0598986128048,495.90769751093603,392.5175757289635,319.08356457148466,255.90728567364567
5,10,12321.453321222552,12321.453321222552,12319.70906824535,12314.828582001166,12306.811345132242,12295.199061532803,12280.474312687196,12263.733793681398,12242.296747510254,12215.11238340805,12182.838732669841,12150.34087554024,12115.443797002097,12080.810188990761,12041.84067008357,11999.813603575887,11954.957831358215,11902.95598538138,11851.088483261958,11794.665932573675,11730.363921005262,11675.674846912249,11617.396743998605,11555.867663494686,11493.00699206223,11424.893294839543,11353.345382326042,11265.224878813733,11186.507496160466,11112.165052005912,11023.41164376984,10941.433490639825,10853.908555500824,10772.841103002773,10673.315943541325,10583.03727290512,10489.4511016833,10383.304394325281,10266.00324073593,10146.355008755316,10022.11292614202,9892.973670189736,9766.372236815205,9648.087043151709,9539.094119033023,9420.498553631398,9308.734675948946,9183.218593347105,9061.193997237271,8916.957312639914,8766.84021198395,8629.9087466282,8493.501674602285,8358.159544078357,8223.120360813697,8093.157552084031,7938.494678829165,7800.683681571709,7634.367406151168,7449.526986617526,7298.332839141096,7141.61063509642,6988.402645111966,6808.102602301613,6643.572353588228,6474.611103954227,6311.711056245049,6145.471627256047,5958.939444072334,5776.981310488291,5588.558648064982,5388.871774467128,5198.193143143564,4990.700088062936,4777.458497031378,4559.212582100472,4367.268473916219,4153.195077718764,3928.5167773365456,3708.922229695212,3489.972343407583,3260.377342355753,3061.8348146370517,2850.8812482940357,2626.587596194404,2396.5067580186087,2179.994844574917,1995.3386638233387,1794.0493885955275,1588.1508713631347,1413.8666193369477,1219.1879089820436,1032.2415174407747,852.2459515759624,725.7052848988051,599.0598986128048,495.90769751093603,392.5175757289635,319.08356457148466,255.90728567364567
5,50,12321.453321222552,12321.453321222552,12319.70906824535,12314.828582001166,12306.811345132242,12295.199061532803,12280.474312687196,12263.733793681398,12242.296747510254,12215.11238340805,12182.838732669841,12150.34087554024,12115.443797002097,12080.810188990761,12041.84067008357,11999.813603575887,11954.957831358215,11902.95598538138,11851.088483261958,11794.665932573675,11730.363921005262,11675.674846912249,11617.396743998605,11555.867663494686,11493.00699206223,11424.893294839543,11353.345382326042,11265.224878813733,11186.507496160466,11112.165052005912,11023.41164376984,10941.433490639825,10853.908555500824,10772.841103002773,10673.315943541325,10583.03727290512,10489.4511016833,10383.304394325281,10266.00324073593,10146.355008755316,10022.11292614202,9892.973670189736,9766.372236815205,9648.087043151709,9539.094119033023,9420.498553631398,9308.734675948946,9183.218593347105,9061.193997237271,8916.957312639914,8766.84021198395,8629.9087466282,8493.501674602285,8358.159544078357,8223.120360813697,8093.157552084031,7938.494678829165,7800.683681571709,7634.367406151168,7449.526986617526,7298.332839141096,7141.61063509642,6988.402645111966,6808.102602301613,6643.572353588228,6474.611103954227,6311.711056245049,6145.471627256047,5958.939444072334,5776.981310488291,5588.558648064982,5388.871774467128,5198.193143143564,4990.700088062936,4777.458497031378,4559.212582100472,4367.268473916219,4153.195077718764,3928.5167773365456,3708.922229695212,3489.972343407583,3260.377342355753,3061.8348146370517,2850.8812482940357,2626.587596194404,2396.5067580186087,2179.994844574917,1995.3386638233387,1794.0493885955275,1588.1508713631347,1413.8666193369477,1219.1879089820436,1032.2415174407747,852.2459515759624,725.7052848988051,599.0598986128048,495.90769751093603,392.5175757289635,319.08356457148466,255.90728567364567
10,5,12321.453321222552,12321.453321222552,12319.70906824535,12314.828582001166,12306.811345132242,12295.199061532803,12280.474312687196,12263.733793681398,12242.296747510254,12215.11238340805,12182.838732669841,12150.34087554024,12115.443797002097,12080.810188990761,12041.84067008357,11999.813603575887,11954.957831358215,11902.95598538138,11851.088483261958,11794.665932573675,11730.363921005262,11675.674846912249,11617.396743998605,11555.867663494686,11493.00699206223,11424.893294839543,11353.345382326042,11265.224878813733,11186.507496160466,11112.165052005912,11023.41164376984,10941.433490639825,10853.908555500824,10772.841103002773,10673.315943541325,10583.03727290512,10489.4511016833,10383.304394325281,10266.00324073593,10146.355008755316,10022.11292614202,9892.973670189736,9766.372236815205,9648.087043151709,9539.094119033023,9420.498553631398,9308.734675948946,9183.218593347105,9061.193997237271,8916.957312639914,8766.84021198395,8629.9087466282,8493.501674602285,8358.159544078357,8223.120360813697,8093.157552084031,7938.494678829165,7800.683681571709,7634.367406151168,7449.526986617526,7298.332839141096,7141.61063509642,6988.402645111966,6808.102602301613,6643.572353588228,6474.611103954227,6311.711056245049,6145.471627256047,5958.939444072334,5776.981310488291,5588.558648064982,5388.871774467128,5198.193143143564,4990.700088062936,4777.458497031378,4559.212582100472,4367.268473916219,4153.195077718764,3928.5167773365456,3708.922229695212,3489.972343407583,3260.377342355753,3061.8348146370517,2850.8812482940357,2626.587596194404,2396.5067580186087,2179.994844574917,1995.3386638233387,1794.0493885955275,1588.1508713631347,1413.8666193369477,1219.1879089820436,1032.2415174407747,852.2459515759624,725.7052848988051,599.0598986128048,495.90769751093603,392.5175757289635,319.08356457148466,255.90728567364567
10,10,12321.453321222552,12321.453321222552,12319.70906824535,12314.828582001166,12306.811345132242,12295.199061532803,12280.474312687196,12263.733793681398,12242.296747510254,12215.11238340805,12182.838732669841,12150.34087554024,12115.443797002097,12080.810188990761,12041.84067008357,11999.813603575887,11954.957831358215,11902.95598538138,11851.088483261958,11794.665932573675,11730.363921005262,11675.674846912249,11617.396743998605,11555.867663494686,11493.00699206223,11424.893294839543,11353.345382326042,11265.224878813733,11186.507496160466,11112.165052005912,11023.41164376984,10941.433490639825,10853.908555500824,10772.841103002773,10673.315943541325,10583.03727290512,10489.4511016833,10383.304394325281,10266.00324073593,10146.355008755316,10022.11292614202,9892.973670189736,9766.372236815205,9648.087043151709,9539.094119033023,9420.498553631398,9308.734675948946,9183.218593347105,9061.193997237271,8916.957312639914,8766.84021198395,8629.9087466282,8493.501674602285,8358.159544078357,8223.120360813697,8093.157552084031,7938.494678829165,7800.683681571709,7634.367406151168,7449.526986617526,7298.332839141096,7141.61063509642,6988.402645111966,6808.102602301613,6643.572353588228,6474.611103954227,6311.711056245049,6145.471627256047,5958.939444072334,5776.981310488291,5588.558648064982,5388.871774467128,5198.193143143564,4990.700088062936,4777.458497031378,4559.212582100472,4367.268473916219,4153.195077718764,3928.5167773365456,3708.922229695212,3489.972343407583,3260.377342355753,3061.8348146370517,2850.8812482940357,2626.587596194404,2396.5067580186087,2179.994844574917,1995.3386638233387,1794.0493885955275,1588.1508713631347,1413.8666193369477,1219.1879089820436,1032.2415174407747,852.2459515759624,725.7052848988051,599.0598986128048,495.90769751093603,392.5175757289635,319.08356457148466,255.90728567364567
10,50,12321.453321222552,12321.453321222552,12319.70906824535,12314.828582001166,12306.811345132242,12295.199061532803,12280.474312687196,12263.733793681398,12242.296747510254,12215.11238340805,12182.838732669841,12150.34087554024,12115.443797002097,12080.810188990761,12041.84067008357,11999.813603575887,11954.957831358215,11902.95598538138,11851.088483261958,11794.665932573675,11730.363921005262,11675.674846912249,11617.396743998605,11555.867663494686,11493.00699206223,11424.893294839543,11353.345382326042,11265.224878813733,11186.507496160466,11112.165052005912,11023.41164376984,10941.433490639825,10853.908555500824,10772.841103002773,10673.315943541325,10583.03727290512,10489.4511016833,10383.304394325281,10266.00324073593,10146.355008755316,10022.11292614202,9892.973670189736,9766.372236815205,9648.087043151709,9539.094119033023,9420.498553631398,9308.734675948946,9183.218593347105,9061.193997237271,8916.957312639914,8766.84021198395,8629.9087466282,8493.501674602285,8358.159544078357,8223.120360813697,8093.157552084031,7938.494678829165,7800.683681571709,7634.367406151168,7449.526986617526,7298.332839141096,7141.61063509642,6988.402645111966,6808.102602301613,6643.572353588228,6474.611103954227,6311.711056245049,6145.471627256047,5958.939444072334,5776.981310488291,5588.558648064982,5388.871774467128,5198.193143143564,4990.700088062936,4777.458497031378,4559.212582100472,4367.268473916219,4153.195077718764,3928.5167773365456,3708.922229695212,3489.972343407583,3260.377342355753,3061.8348146370517,2850.8812482940357,2626.587596194404,2396.5067580186087,2179.994844574917,1995.3386638233387,1794.0493885955275,1588.1508713631347,1413.8666193369477,1219.1879089820436,1032.2415174407747,852.2459515759624,725.7052848988051,599.0598986128048,495.90769751093603,392.5175757289635,319.08356457148466,255.90728567364567
50,5,12321.453321222552,12321.453321222552,12319.70906824535,12314.828582001166,12306.811345132242,12295.199061532803,12280.474312687196,12263.733793681398,12242.296747510254,12215.11238340805,12182.838732669841,12150.34087554024,12115.443797002097,12080.810188990761,12041.84067008357,11999.813603575887,11954.957831358215,11902.95598538138,11851.088483261958,11794.665932573675,11730.363921005262,11675.674846912249,11617.396743998605,11555.867663494686,11493.00699206223,11424.893294839543,11353.345382326042,11265.224878813733,11186.507496160466,11112.165052005912,11023.41164376984,10941.433490639825,10853.908555500824,10772.841103002773,10673.315943541325,10583.03727290512,10489.4511016833,10383.304394325281,10266.00324073593,10146.355008755316,10022.11292614202,9892.973670189736,9766.372236815205,9648.087043151709,9539.094119033023,9420.498553631398,9308.734675948946,9183.218593347105,9061.193997237271,8916.957312639914,8766.84021198395,8629.9087466282,8493.501674602285,8358.159544078357,8223.120360813697,8093.157552084031,7938.494678829165,7800.683681571709,7634.367406151168,7449.526986617526,7298.332839141096,7141.61063509642,6988.402645111966,6808.102602301613,6643.572353588228,6474.611103954227,6311.711056245049,6145.471627256047,5958.939444072334,5776.981310488291,5588.558648064982,5388.871774467128,5198.193143143564,4990.700088062936,4777.458497031378,4559.212582100472,4367.268473916219,4153.195077718764,3928.5167773365456,3708.922229695212,3489.972343407583,3260.377342355753,3061.8348146370517,2850.8812482940357,2626.587596194404,2396.5067580186087,2179.994844574917,1995.3386638233387,1794.0493885955275,1588.1508713631347,1413.8666193369477,1219.1879089820436,1032.2415174407747,852.2459515759624,725.7052848988051,599.0598986128048,495.90769751093603,392.5175757289635,319.08356457148466,255.90728567364567
50,10,12321.453321222552,12321.453321222552,12319.70906824535,12314.828582001166,12306.811345132242,12295.199061532803,12280.474312687196,12263.733793681398,12242.296747510254,12215.11238340805,12182.838732669841,12150.34087554024,12115.443797002097,12080.810188990761,12041.84067008357,11999.813603575887,11954.957831358215,11902.95598538138,11851.088483261958,11794.665932573675,11730.363921005262,11675.674846912249,11617.396743998605,11555.867663494686,11493.00699206223,11424.893294839543,11353.345382326042,11265.224878813733,11186.507496160466,11112.165052005912,11023.41164376984,10941.433490639825,10853.908555500824,10772.841103002773,10673.315943541325,10583.03727290512,10489.4511016833,10383.304394325281,10266.00324073593,10146.355008755316,10022.11292614202,9892.973670189736,9766.372236815205,9648.087043151709,9539.094119033023,9420.498553631398,9308.734675948946,9183.218593347105,9061.193997237271,8916.957312639914,8766.84021198395,8629.9087466282,8493.501674602285,8358.159544078357,8223.120360813697,8093.157552084031,7938.494678829165,7800.683681571709,7634.367406151168,7449.526986617526,7298.332839141096,7141.61063509642,6988.402645111966,6808.102602301613,6643.572353588228,6474.611103954227,6311.711056245049,6145.471627256047,5958.939444072334,5776.981310488291,5588.558648064982,5388.871774467128,5198.193143143564,4990.700088062936,4777.458497031378,4559.212582100472,4367.268473916219,4153.195077718764,3928.5167773365456,3708.922229695212,3489.972343407583,3260.377342355753,3061.8348146370517,2850.8812482940357,2626.587596194404,2396.5067580186087,2179.994844574917,1995.3386638233387,1794.0493885955275,1588.1508713631347,1413.8666193369477,1219.1879089820436,1032.2415174407747,852.2459515759624,725.7052848988051,599.0598986128048,495.90769751093603,392.5175757289635,319.08356457148466,255.90728567364567
50,50,12267.616940187474,12267.616940187474,12265.749356129478,12260.582712142692,12253.85942466978,12242.323813993376,12228.723721557202,12210.5393176781,12194.021798586507,12172.31323430524,12144.913700429346,12120.046185676083,12090.32027665204,12054.39654849334,12019.474602870705,11980.034817242464,11936.711245280429,11886.462306722404,11845.056120587253,11793.78207054522,11736.202065793797,11688.30638490104,11626.708231164928,11562.393428591658,11496.895063273318,11417.277898778937,11333.77747278322,11259.243924152659,11185.224096555956,11115.20865052331,11030.025832446132,10934.447463641342,10828.411572841886,10737.256700147012,10645.951272935234,10549.598387512096,10454.721121732515,10352.29514037718,10262.961451539893,10166.871678013042,10068.691095468133,9959.144268653437,9850.227975339203,9741.831055171924,9616.816806531317,9490.620589475233,9356.94137943494,9233.399045160697,9117.842090686352,8986.046450111951,8859.55432739734,8732.221800560197,8616.498160277473,8485.57566270411,8347.428503772393,8199.677707148394,8031.0181065210945,7858.770751607346,7703.0522295753035,7535.666547078672,7389.04099746379,7234.316092293297,7076.180776128371,6917.5911772774725,6741.139686643768,6542.407870758401,6347.165057851364,6166.758345702692,5975.595085384592,5785.851188466571,5559.605511491522,5380.927786172676,5212.563039246366,5022.35401875164,4826.740429898712,4666.592618418676,4490.421981716098,4311.5150690674855,4123.757914220647,3924.2973911045883,3689.081948859837,3466.4020505392446,3277.6192686746053,3121.333101080274,2939.4823281048184,2734.8084637628453,2531.2266416047687,2327.0499802943077,2135.398989231241,1919.1470534702285,1729.9787059842256,1533.9011100381595,1355.5076496737865,1183.7696496808035,1034.40701283112,880.5770652333103,698.5100940941943,554.3847262184049,444.20124103574517,351.83749632764966
