Iteration,Min,Max,Average,Std. Dev.
0,1.639,19.734,9.093,6.119611718451688
1,1.639,19.734,9.093,6.119611718451688
2,1.58,19.72,8.881,6.007562046252232
3,1.416,19.419,8.428,5.767345557341421
4,1.356,19.269,7.891,5.46145624935656
5,1.336,18.821,7.581,5.190294889923596
6,1.27,18.471,7.203,4.924863847319078
7,1.047,17.963,6.787,4.678445351228992
8,0.863,17.665,6.513,4.592839457076095
9,0.666,17.38,6.315,4.552955906730169
10,0.831,16.655,6.14,4.333876889130903
11,1.178,15.016,5.886,3.7578398850701413
12,1.611,14.101,5.741,3.401061230623193
13,1.689,11.733,5.468,2.76743310599084
14,2.08,11.686,5.462,2.6756577698550172
15,2.355,11.338,5.424,2.5343084704805627
16,2.961,10.521,5.365,2.2504332953899073
17,3.077,7.889,5.046,1.5639284447250634
18,3.471,7.667,4.89,1.2367727237031696
19,3.957,7.017,4.512,0.9049923346832383
20,2.317,6.139,4.201,0.9173716475151925
21,1.454,4.791,3.779,0.8914144446290305
22,1.51,4.732,3.597,0.8494539134882375
23,1.555,4.04,3.37,0.7530884991969553
24,1.511,3.901,3.055,0.6748480160103726
25,1.497,3.757,2.832,0.617814786069461
26,1.365,3.56,2.576,0.598311389435661
27,1.041,3.246,2.309,0.584746160279581
28,0.856,2.662,2.073,0.4974732678731444
29,0.637,2.146,1.641,0.4162100312709738
30,0.523,2.081,1.413,0.4874509160259093
31,0.503,2.071,1.119,0.49104054060421254
32,0.39,1.515,0.83,0.3796562941463784
33,0.373,1.186,0.694,0.3114978174239096
34,0.331,1.298,0.629,0.3231661455830348
35,0.347,0.837,0.496,0.1684754524730028
36,0.183,0.543,0.384,0.08716357497534538
37,0.196,0.422,0.337,0.07576766893112631
38,0.133,0.401,0.268,0.09087032069480416
39,0.124,0.379,0.199,0.07748733278052813
40,0.124,0.351,0.171,0.06701073654345667
41,0.084,0.316,0.161,0.0671436432869826
42,0.101,0.217,0.132,0.03305291182784361
43,-0.005,0.195,0.114,0.05655900043952743
44,-0.056,0.156,0.085,0.05919659672916623
45,-0.044,0.097,0.03,0.045586741579860576
46,-0.104,0.048,-0.017,0.040056605289133386
47,-0.105,0.032,-0.043,0.04017762334285833
48,-0.106,-0.026,-0.072,0.026660027206451022
49,-0.117,0.005,-0.079,0.038308156163674216
