"5,5,5,5","[-0.8790101147920303, -0.7967940479457184, -0.7921226117907897, -0.766221182013667, -0.7625418170282259, -0.7620333509841896, -0.7607511455777679, -0.7598360833728457, -0.7541547017871455, -0.7530522131543884, -0.7511333919049067, -0.7509671714868641, -0.7498799349939507, -0.7469169713716871, -0.7412340295433261, -0.7381019099796415, -0.7369577593764502, -0.7361281598397944, -0.7349481245879617, -0.7332305029128371, -0.7326218626213917, -0.729496794596869, -0.7285845371857321, -0.7284056629210597, -0.7277842376494866, -0.726136223596003, -0.7251395988519111, -0.7227026102210652, -0.7176180706427095, -0.7168202764858297, -0.7163909327663159, -0.7161607664632251, -0.7155385589747375, -0.7144512586529455, -0.7144512586529455, -0.7130945288688133, -0.7094099508101216, -0.7090825777403513, -0.7057917944666542, -0.7056785274467896, -0.7053219961530814, -0.7044970359332225, -0.7008579295911564, -0.6973214505253059, -0.6973214505253059, -0.6952341974431232, -0.6826189710156954, -0.6790533848887402, -0.6663857968061144, -0.6610247109443412]"
"5,5,5,10","[2.202531545127488, 2.206041563739286, 2.21461423358996, 2.2264620174575125, 2.2270244919306816, 2.2272360041995283, 2.2292130791168967, 2.230112319025009, 2.2312471525877777, 2.2316736799407364, 2.2316736799407364, 2.232421500439081, 2.2330368962557903, 2.2333951403477936, 2.2367707344954573, 2.2374934601538246, 2.23758097919995, 2.2422838390332434, 2.2424773377396865, 2.242560834722726, 2.242903865092645, 2.2451551543364623, 2.2483599294875676, 2.2487372865722914, 2.2487372865722914, 2.2487372865722914, 2.2496437937155216, 2.2501003736617293, 2.2501084717822075, 2.2501512193104247, 2.2501512193104247, 2.2501512193104247, 2.2501512193104247, 2.25022584404513, 2.250344937975166, 2.2505007871824794, 2.2505577443130003, 2.2508663350020752, 2.2509073805120865, 2.2518550300020532, 2.2526163237091015, 2.2546276713013835, 2.255341452674804, 2.256652527054884, 2.260205661829473, 2.260608344950715, 2.2655733588510056, 2.2675092163486967, 2.2705578772954187, 2.2865869933108254]"
"5,5,5,50","[-2.94519983895585, -2.8489364944563005, -2.6740431329857977, -2.6503907442320997, -2.499406953677058, -2.387285095560218, -2.3838828953693327, -2.362392584638193, -2.362170770458538, -2.362170770458538, -2.3613387716843217, -2.3595833415969016, -2.3595833415969016, -2.3595833415969016, -2.357365186051812, -2.3563341970968428, -2.3556874333528937, -2.3556424361148145, -2.3552736975496114, -2.355255318099928, -2.3550928869041217, -2.3542479923075663, -2.3533685084631073, -2.352070109546675, -2.351709595121043, -2.351709595121043, -2.351468412220134, -2.347967823639553, -2.3475275067380466, -2.3471670966250686, -2.3436930692454876, -2.3415532197978277, -2.341524402905283, -2.3404711532044034, -2.338867710982216, -2.3378712166861075, -2.337691874721316, -2.333750106496077, -2.330902995800427, -2.330833039762822, -2.3291436241622545, -2.327111241268055, -2.3243398836280735, -2.321832535381091, -2.319882199411581, -2.3183112445925045, -2.1573914960919027, -0.06148166235954877, 0.24300622321410503, 0.5595246987419313]"
"5,5,10,5","[4.669081476879529, 4.680936364581225, 4.68756000678982, 4.690304291327563, 4.6932059435651485, 4.693769517874061, 4.695239990065152, 4.696218172149043, 4.696981674435977, 4.698289091370044, 4.700903763934795, 4.701441815666804, 4.704499643146705, 4.706181339305878, 4.706430899298118, 4.706681405254445, 4.706681405254445, 4.708528197592978, 4.709323997142624, 4.709493834375642, 4.709620874195133, 4.710261928367075, 4.710445021569206, 4.710445021569206, 4.710445021569206, 4.710445021569206, 4.716356067776166, 4.721855349528471, 4.7230371076005815, 4.7238169153006835, 4.724635269209755, 4.726167365898949, 4.726414385875392, 4.73081813426803, 4.73122299132363, 4.732990740950014, 4.733211261274923, 4.733947732721616, 4.734743743032086, 4.734743743032086, 4.735157148120752, 4.736000315313288, 4.736245334753886, 4.73680880138724, 4.738081209959172, 4.7418595637532155, 4.743760089103544, 4.748582185210195, 4.754136293936457, 4.763988008479666]"
"5,5,10,10","[7.270611215769442, 7.270611215769442, 7.272590208395123, 7.273248984641679, 7.276524666659925, 7.276582041746344, 7.276601892373131, 7.277050943942287, 7.277894504259361, 7.281474439677454, 7.28160559637492, 7.284697196383481, 7.287843092233778, 7.288030442140117, 7.289843048360081, 7.290017921505731, 7.290341869731092, 7.290341869731092, 7.291044535794976, 7.291108100729275, 7.2913963500154315, 7.2913963500154315, 7.291795663526905, 7.29273040963575, 7.29273040963575, 7.29404301715392, 7.294645088617173, 7.295310745306624, 7.295538114046121, 7.296498888009742, 7.2965148270674565, 7.296759027518533, 7.297550371284933, 7.298100667110039, 7.298700023885149, 7.298904530453047, 7.300332780490182, 7.300351944407014, 7.301134018022585, 7.3016023665927055, 7.3017672318295865, 7.304864998224053, 7.306965742827744, 7.309336316751359, 7.310682542936776, 7.310682542936776, 7.310682542936776, 7.313395730141519, 7.315087812657883, 7.318142738796142]"
"5,5,10,50","[-7.36191054638026, -7.016864221785818, -6.766520338590633, -6.09274714850957, -6.037786216044248, -4.7561245030598585, -4.592093108433218, -4.561896132242765, -4.0778403951900914, -3.127198798689743, -3.126932805183555, -3.1235060470794944, -3.1121236904409297, -3.1102456880136065, -3.1067769915450185, -3.0987909994309333, -3.0931886712984564, -3.087269358172255, -3.0819161401407222, -3.081594416423433, -3.081594416423433, -3.0777360296871237, -2.8619102955576903, -2.5242707017772075, -2.4450879174473843, -2.4360872745184983, -2.3965165484792252, -2.380425905863089, -2.3772497650462094, -2.3747844711929513, -2.3172021559651843, -2.2855296377431116, -2.2786599687284026, -2.2742455206030714, -2.27215136016014, -2.2585612124603274, -2.2432693824746743, -2.2283800220946937, -1.961005571360766, -1.745479879031975, -1.4115391205219048, -0.8350112651676156, -0.832460930783145, -0.7648205611389249, 0.3520354715062073, 0.43966372224558636, 0.6352854085693296, 0.6926092857593895, 1.3527728925243596, 1.6344671736120722]"
"5,5,50,5","[-2.5281815156923133, -2.522632901020292, -2.5219478914677405, -2.5204923981210916, -2.5181355595514985, -2.514787377613386, -2.512275509928053, -2.5095429416100994, -2.5048246630593067, -2.5045015140321354, -2.504073832667581, -2.5038256914600727, -2.502880756469068, -2.5015887479846417, -2.500958348635666, -2.500939995083079, -2.498614540489024, -2.496961826253431, -2.4968053657506695, -2.4960788261313986, -2.4960788261313986, -2.4960788261313986, -2.496078192479964, -2.4945860853624824, -2.494392538984815, -2.4940114310419563, -2.493963777655696, -2.4934051105943134, -2.493102473554945, -2.4928824989533434, -2.4923577634627128, -2.491857098187548, -2.490285776919838, -2.4896137764641537, -2.4893814327847084, -2.488556872612179, -2.4843107454291724, -2.4833763990722617, -2.4820144222379463, -2.476627054482015, -2.474758400202907, -2.4735725916451656, -2.472262460677344, -2.4701948215579876, -2.4661315924818457, -2.4659512517555284, -2.46341999041657, -2.4627766996503104, -2.4562287084706473, -2.4539399765037495]"
"5,5,50,10","[-3.5696761941407082, -3.555399798479239, -3.5357372378423975, -3.523282148847246, -3.521143921133288, -3.521143921133288, -3.5187456472049026, -3.517099024714929, -3.5109099406844617, -3.509339632421149, -3.498939098006227, -3.478919357420428, -3.475026655883841, -3.4654375407827738, -3.463101471047822, -3.4588754043185563, -3.4480399553799694, -3.4447550095384187, -3.4444901855040317, -3.4428502992360865, -3.4418607493896767, -3.438826707990279, -3.434948708041369, -3.433565149272944, -3.4301000158085815, -3.4289927100103457, -3.428290345633089, -3.4256876921405555, -3.424038823024175, -3.4236220392600885, -3.4228708318568595, -3.4211293361851736, -3.419911074621629, -3.419569345038256, -3.4188407362241184, -3.4174405025151113, -3.4130267915242127, -3.4121178160860395, -3.410892708759174, -3.410811672255705, -3.410484153523395, -3.4101708041400327, -3.408413249166247, -3.408413249166247, -3.403478825873699, -3.3896966975483704, -3.3870742398339466, -3.3870742398339466, -3.373817552930178, -3.3714395296360085]"
"5,5,50,50","[-5.957441647490997, -5.267597026347781, -5.259511760388861, -4.120057678556131, -3.162277643290927, -2.529512759008445, -2.5140843125598518, -2.5097252468816436, -2.5031126266593833, -1.9740677266933455, -1.9231979621139628, -1.1367051039564968, -1.1244900588530007, -1.0051766847557753, -0.6704053822709862, -0.6696441372469008, -0.6674737320089873, -0.6670212353198492, -0.6664372960120982, -0.6664372960120982, -0.6664372960120982, -0.6664372960120982, -0.6649366002384817, -0.6647707414215154, -0.6607587652067572, -0.6573650829857263, -0.6557518902600284, -0.6499506289370528, -0.6402729495026009, -0.48546103976389365, -0.20389894350787507, -0.13686053983333202, 0.011976572825591447, 0.6496867424934062, 0.8065840834759126, 0.8086508538406052, 0.8093473047561666, 0.8106501123481791, 0.8178572493722582, 1.2475754456237107, 1.2834747512018818, 1.5170280324102048, 1.9960854774663888, 2.787915320855235, 2.7928640062514853, 3.118257796807713, 3.2452320789252433, 4.061111365213143, 4.066409896326691, 7.131491053100701]"
"5,10,5,5","[-1.0687939006625298, -1.0167337650794235, -1.0084356471865654, -0.996601565998013, -0.993317863499728, -0.9927933011262731, -0.9871375614459388, -0.985704015890452, -0.9849667010033543, -0.9825655547458583, -0.9815630979357639, -0.9807485426199138, -0.9783099859234219, -0.9783099859234219, -0.9781106269522271, -0.9778622819538414, -0.9776091389082802, -0.9770693957467054, -0.9746264630698438, -0.9742827039093687, -0.97280186363799, -0.97280186363799, -0.9727308061046238, -0.9720273947726086, -0.9710065751423553, -0.969188429235432, -0.969001501328824, -0.9684616274703264, -0.9667163172361353, -0.9646166663989981, -0.9643831995985317, -0.9634644551623353, -0.9605149484884019, -0.9575021210988075, -0.9568962737391133, -0.9565230953885386, -0.9561664906119305, -0.9540350440443557, -0.9529405530753587, -0.9521094286503811, -0.9519386247669488, -0.9478607244031352, -0.9477902550325572, -0.9456219913989512, -0.9419370188643841, -0.9399598602211654, -0.9395615744351666, -0.9359086039051139, -0.9314824143729281, -0.9173423974421562]"
"5,10,5,10","[3.8674521452378197, 3.8749275229475817, 3.8771957743917786, 3.879726842242844, 3.879910571297775, 3.8825417679448924, 3.8833913209405244, 3.885048392770194, 3.885719033125298, 3.88622039220731, 3.8879850560499696, 3.888124853446057, 3.888124853446057, 3.889047449474176, 3.8899768592734825, 3.890943293995642, 3.891483997095727, 3.891609233436745, 3.8922632800033092, 3.893275681236561, 3.893374633008399, 3.8933969698040074, 3.8944848035566153, 3.894750253834056, 3.895014077556327, 3.895099642423353, 3.8956404958075, 3.8958227867939805, 3.8965040869464924, 3.8965147165686496, 3.897071492611017, 3.8973941913685812, 3.8974748550963234, 3.897673157094391, 3.897673157094391, 3.897969183547303, 3.897969183547303, 3.897969183547303, 3.897969183547303, 3.897969183547303, 3.8979691835473034, 3.8987534968300617, 3.8988477657127616, 3.899921084100493, 3.9007523491614267, 3.902979778609464, 3.908032429765097, 3.90912766131634, 3.9108842983224568, 3.913286151175361]"
"5,10,5,50","[0.5980409380017064, 1.9429134510130992, 2.027844072604223, 2.0566402944817606, 2.0590010089388064, 2.073101318275507, 2.0839573272931418, 2.103607940127871, 2.2085036421184023, 2.2520003481790973, 2.2657695642305273, 2.2662371709124556, 2.278928241070648, 2.290933914833027, 2.293294668850202, 2.297393437139377, 2.2974224190094477, 2.297831964611609, 2.2986978305663053, 2.300843612001764, 2.3087451987707324, 2.310111703907511, 2.3231363628784543, 2.3234472914470317, 2.3268796412515163, 2.3281371277007175, 2.32926518090636, 2.331211968114615, 2.3369866803589168, 2.337388111330719, 2.345635348918356, 2.3594190168219207, 2.3702159766852775, 2.388593527028803, 2.391944513534166, 2.4067482201046877, 2.4530239103843616, 2.5304700397509374, 2.5803731824681297, 2.6271525475178423, 2.628744453239782, 2.677817318687974, 2.795233725176855, 2.887184683608063, 2.934036872612778, 2.9657957760120324, 3.1580597491982907, 3.1669747398438854, 3.3939728185118883, 3.7958341767830786]"
"5,10,10,5","[-4.003013605856983, -3.271979435831639, -2.761147995369418, -2.7508085965521465, -2.7508085965521465, -2.7498597095355306, -2.6692786950352345, -1.433007087784063, -1.335080981280436, -1.3306739586005438, -1.3306739586005438, -1.3196375494831916, -1.2263233812818326, -1.013865969295911, -0.9981656444585842, -0.9979528144302456, -0.9957958534300562, -0.9901439640699623, -0.9866491743117796, -0.9866411590018349, -0.985895431254042, -0.9850009471446626, -0.9810650453864014, -0.9791218383980378, -0.9783852066642122, -0.97823278000594, -0.9757487848445594, -0.9756300408425447, -0.9756300408425447, -0.9738546464056732, -0.9697637006675328, -0.9695523742167986, -0.9684244774756126, -0.9674517136743765, -0.9581746763208256, -0.9581746763208256, -0.953426011256858, -0.9530042240918695, -0.9520321787504766, -0.9518021799703513, -0.9503186164617947, -0.947170716346704, -0.9462180510449727, -0.5636852065043991, -0.3806238951352423, 0.1197647605844323, 0.1197647605844323, 0.13453018699847652, 0.3094554321949752, 0.46827101819284467]"
"5,10,10,10","[-7.143421720969691, -6.7268156499091525, -6.412003088756554, -6.256009995981927, -6.2389285577899845, -5.939780227137378, -5.60386651759695, -5.539510391248109, -5.248786920770083, -5.247094338821748, -5.241977314143214, -5.240108907751301, -5.229401792520745, -5.228610336520797, -5.228152830306274, -5.224795339200432, -5.224038403123491, -5.223368927018981, -5.2178019514631675, -5.214592036833379, -5.211054245079553, -5.20581807171611, -5.205644378653375, -5.204963435116383, -5.2041836777383335, -5.176915704435912, -4.479331272493016, -4.329010118826902, -4.303772064643259, -4.121303455083719, -3.933999808241682, -3.7929811493762853, -3.734425080258771, -2.868579197530175, -2.8674282698197198, -2.8643185886750357, -2.859525362709227, -2.8570561224700066, -2.851369341494705, -2.850182947131805, -2.8459037469989443, -2.8426465016230322, -2.839796711012658, -2.83818934019989, -2.8299767994605203, -2.8194335496190757, -2.506575575265131, -1.6799083055211106, -1.3451772388403782, -0.963002925741779]"
