Iteration,Min,Max,Average,Std. Dev.
0,0.111,31.675,6.754,6.808124995885279
1,0.111,31.675,6.754,6.808124995885279
2,0.112,31.605,6.731,6.79548924595304
3,0.112,31.392,6.681,6.761168478971582
4,0.112,31.162,6.6,6.703878317144233
5,0.112,30.53,6.48,6.604613591443126
6,0.108,30.254,6.337,6.5074920444940885
7,0.099,29.317,6.174,6.360813708092345
8,0.086,27.828,6.005,6.196556794934181
9,0.074,27.69,5.797,6.033595568293536
10,0.054,26.641,5.571,5.835653504934088
11,0.052,25.799,5.341,5.635013784741492
12,0.05,24.61,5.111,5.495593950955041
13,0.048,22.898,4.854,5.288776676710785
14,0.046,20.664,4.551,4.967684858463625
15,0.041,20.527,4.291,4.771782593047499
16,0.033,20.162,3.995,4.504834703762344
17,-0.05,19.995,3.67,4.262243772160318
18,-0.091,19.085,3.357,4.027298176864888
19,-0.096,17.358,3.032,3.8002611755017415
20,-0.105,16.897,2.785,3.543689292732361
21,-0.121,16.764,2.47,3.291913835950433
22,-0.122,16.346,2.235,3.1699419908757207
23,-0.122,15.59,1.949,2.9349869717213046
24,-0.122,13.543,1.686,2.621493201709019
25,-0.117,11.822,1.455,2.3332618886158527
26,-0.113,10.494,1.215,2.0818630356039862
27,-0.112,8.423,0.992,1.8158684386832775
28,-0.121,7.974,0.851,1.674744357080998
29,-0.123,7.298,0.69,1.4689456013814177
30,-0.122,7.158,0.556,1.2989724204819306
31,-0.105,7.02,0.457,1.2036634196229865
32,-0.122,6.58,0.382,1.0616361037942985
33,-0.11,6.267,0.307,0.9009229764893997
34,-0.083,6.201,0.254,0.7883293456852548
35,-0.069,5.746,0.227,0.7043631523091121
36,-0.085,4.665,0.184,0.57070529507298
37,-0.08,3.866,0.151,0.44441211748566684
38,-0.071,2.576,0.129,0.31983110539455833
39,-0.104,2.197,0.108,0.2597552849210997
40,-0.114,2.143,0.087,0.23119174021797176
41,-0.107,1.297,0.072,0.16603683596268487
42,-0.077,0.945,0.059,0.125747479928756
43,-0.077,0.926,0.056,0.11631715324599892
44,-0.058,0.609,0.036,0.07513481451858887
45,-0.099,0.51,0.023,0.07876838744804607
46,-0.098,0.396,0.011,0.07198811124231555
47,-0.111,0.409,0.001,0.07086571661936135
48,-0.117,0.254,-0.018,0.05503615686563938
49,-0.119,0.131,-0.04,0.04540782660120558
50,-0.124,0.059,-0.061,0.034175562978837316
51,-0.124,0.06,-0.084,0.035030834812789735
52,-0.124,0.03,-0.101,0.027496987141041342
53,-0.124,0.034,-0.108,0.02195286825539775
54,-0.124,0.014,-0.111,0.0214136633782764
55,-0.124,0.055,-0.11,0.024328372391088048
56,-0.124,0.053,-0.107,0.029436644931687073
57,-0.124,0.009,-0.112,0.022802966441253385
58,-0.124,0.047,-0.108,0.02655082641345345
59,-0.124,0.033,-0.109,0.025517505590176397
60,-0.124,0.093,-0.106,0.030419800119180107
61,-0.124,0.09,-0.103,0.03819868949304573
62,-0.124,0.076,-0.103,0.03747096186022691
63,-0.124,0.13,-0.104,0.036590242700798706
64,-0.124,0.089,-0.104,0.03401437026218919
65,-0.124,0.06,-0.103,0.03775617371602747
66,-0.124,0.007,-0.106,0.0282371888620787
67,-0.124,0.181,-0.102,0.03958958391266151
68,-0.124,0.199,-0.106,0.040977626057758315
69,-0.124,0.074,-0.105,0.03247098806821563
70,-0.124,0.109,-0.098,0.04091167098116812
71,-0.124,0.074,-0.103,0.03555747389171725
72,-0.124,0.124,-0.1,0.03963838564787823
73,-0.124,0.132,-0.105,0.040259930646353366
74,-0.124,0.162,-0.094,0.055190451910967796
75,-0.124,0.132,-0.1,0.04796962737620286
76,-0.124,0.099,-0.102,0.03951048262509618
77,-0.124,0.174,-0.098,0.050442258767797614
78,-0.124,0.168,-0.103,0.041139272007120004
79,-0.124,0.135,-0.099,0.040518094857632414
80,-0.124,0.236,-0.092,0.05679748733192849
81,-0.124,0.186,-0.098,0.046980059447003716
82,-0.124,0.16,-0.096,0.042494481089518726
83,-0.124,0.108,-0.106,0.03249536624637974
84,-0.124,0.162,-0.095,0.05123586444341746
85,-0.124,0.045,-0.102,0.03307211723867176
86,-0.124,0.218,-0.085,0.06177277962684096
87,-0.124,0.242,-0.087,0.06757674404237464
88,-0.124,0.233,-0.083,0.06853867830013886
89,-0.124,0.202,-0.085,0.06757508833678476
90,-0.124,0.156,-0.093,0.05587257139306185
91,-0.124,0.612,-0.085,0.08268376537794175
92,-0.124,0.701,-0.086,0.09616133348031163
93,-0.124,0.347,-0.08,0.07978730055646745
94,-0.124,0.212,-0.091,0.05117844091912684
95,-0.123,0.248,-0.089,0.06330673900743294
96,-0.124,0.373,-0.085,0.07289928584098439
97,-0.124,0.285,-0.082,0.07317545731100543
98,-0.124,0.143,-0.093,0.05443299852334885
99,-0.123,0.495,-0.075,0.0802668233858144
