Iteration,Min,Max,Average,Std. Dev.
0,1.639,19.734,9.093,6.119611718451688
1,1.639,19.734,9.093,6.119611718451688
2,1.502,19.704,8.646,5.891228351771875
3,1.145,19.189,7.86,5.584718506048346
4,1.034,18.98,7.194,5.204730409280847
5,1.005,18.44,6.837,4.861265041594697
6,0.91,17.658,6.397,4.509072174880595
7,0.698,15.637,5.902,3.9053215057905035
8,0.677,14.321,5.646,3.529190856225575
9,1.322,13.207,5.504,3.1357212447449867
10,2.552,10.829,5.305,2.3238511588357484
11,3.445,7.175,4.874,1.2611798915165688
12,3.365,6.501,4.599,0.9026079983472257
13,3.29,6.366,4.264,0.8499212132513052
14,3.26,6.049,4.125,0.7481641094281658
15,3.05,5.853,3.993,0.7289540062586092
16,2.616,5.753,3.801,0.7988769320007878
17,1.649,5.139,3.475,0.8580316970533814
18,1.426,4.884,3.179,0.8586727018772018
19,1.34,3.858,2.716,0.7189497126018636
20,1.465,2.8,2.252,0.4408378672987528
21,0.953,2.149,1.598,0.38714802018545763
22,0.621,1.809,1.186,0.3923978268174405
23,0.284,1.406,0.901,0.31438461879517127
24,0.244,0.959,0.675,0.21453684640167933
25,0.239,0.852,0.561,0.23027899687928513
26,0.214,0.629,0.417,0.14181084541962602
27,0.139,0.551,0.322,0.12689329298848545
28,0.099,0.392,0.243,0.090107404641595
29,0.008,0.422,0.169,0.11264477526868015
30,0.011,0.335,0.125,0.09603267058910789
31,0.025,0.207,0.098,0.059778136050647565
32,-0.073,0.151,0.044,0.061667213855424854
33,-0.049,0.121,0.008,0.048041333485307994
34,-0.047,0.115,-0.003,0.046065384141460414
35,-0.075,0.051,-0.014,0.03498923892060265
36,-0.075,0.024,-0.028,0.028373902628571205
37,-0.095,-0.02,-0.053,0.023912469209944682
38,-0.104,-0.033,-0.074,0.020660251406680596
39,-0.109,-0.019,-0.081,0.028774236177745847
40,-0.116,-0.043,-0.095,0.02580573194729374
41,-0.118,-0.068,-0.096,0.019743095259951132
42,-0.123,-0.063,-0.104,0.018360755856468874
43,-0.121,-0.066,-0.105,0.019746883230960535
44,-0.123,-0.098,-0.117,0.007141015498809741
45,-0.123,-0.04,-0.101,0.029789104420484366
46,-0.123,-0.061,-0.108,0.019322640090562466
47,-0.123,-0.02,-0.103,0.030286444997108662
48,-0.12,-0.038,-0.099,0.024597474580692207
49,-0.118,-0.089,-0.104,0.01055374841390868
