Iteration,Min,Max,Average,Std. Dev.
0,1.639,19.734,9.093,6.119611718451688
1,1.639,19.734,9.093,6.119611718451688
2,1.458,19.695,8.524,5.835021059356664
3,0.961,19.006,7.532,5.498032805846916
4,0.83,18.749,6.827,4.968318921794658
5,0.794,17.783,6.373,4.525545927573139
6,0.694,14.318,5.647,3.499318669003445
7,0.895,7.207,4.695,1.6497796086506247
8,1.768,5.477,4.189,0.9709640119750919
9,2.945,4.992,3.647,0.6306159678014983
10,0.648,4.473,2.739,1.2517038625702748
11,0.223,3.733,2.185,1.0806595681012021
12,0.014,2.421,1.468,0.7712325537126864
13,0.003,2.133,0.939,0.641519624519321
14,0.045,1.161,0.522,0.3713140348351579
15,-0.004,1.041,0.377,0.36105438397506456
16,0.035,0.735,0.354,0.25852532476172624
17,-0.061,0.477,0.198,0.20069708020691882
18,-0.12,0.316,0.039,0.14482733418941707
19,-0.116,0.163,-0.023,0.1035732564251578
20,-0.116,0.114,-0.032,0.07656500504687618
21,-0.092,0.127,-0.026,0.0644233561801093
22,-0.115,0.171,-0.033,0.09886326400842076
23,-0.12,0.038,-0.055,0.05662878358027863
24,-0.121,0.131,-0.04,0.091076310242744
25,-0.118,0.063,-0.053,0.0764415169596826
26,-0.118,0.224,-0.063,0.10432946884820979
27,-0.119,0.168,-0.048,0.1042008977355619
28,-0.115,0.143,-0.013,0.10896897969658902
29,-0.114,0.637,0.101,0.28680251085889913
30,-0.119,0.586,0.069,0.24751636055021187
31,-0.117,0.085,-0.059,0.0657831318569096
32,-0.121,0.269,-0.007,0.11900836099439391
33,-0.111,0.066,-0.03,0.0609157588135829
34,-0.118,0.501,0.042,0.2088814075147894
35,-0.118,0.277,0.012,0.15153630319811207
36,-0.119,0.462,0.027,0.19304615593752097
37,-0.122,0.345,0.003,0.17076067948229362
38,-0.115,-0.037,-0.089,0.02550342745387685
39,-0.121,1.863,0.182,0.6106896795224415
40,-0.121,1.82,0.146,0.6105588680858494
41,-0.122,0.312,-0.015,0.13614590713911934
42,-0.118,0.922,0.102,0.3186923846290534
43,-0.123,0.27,-0.023,0.11392065039722739
44,-0.117,0.45,-0.016,0.1671333918277802
45,-0.119,0.259,-0.012,0.11954496700277736
46,-0.11,0.231,-0.027,0.11152370758099535
47,-0.101,0.287,0.043,0.14142926649271742
48,-0.121,0.246,-0.013,0.13026408483151383
49,-0.12,0.325,0.002,0.14772290348421502
