Iteration,Min,Max,Average,Std. Dev.
0,0.111,31.675,6.754,6.808124995885279
1,0.111,31.675,6.754,6.808124995885279
2,0.117,30.753,6.462,6.644257953953451
3,0.099,28.605,5.932,6.273864092167127
4,0.082,26.478,5.194,5.747514777827681
5,0.059,23.331,4.315,5.056150307664278
6,0.024,21.818,3.538,4.522647942990219
7,-0.094,18.775,2.771,3.846287866412491
8,-0.068,17.926,2.129,3.4131819715908107
9,-0.119,17.199,1.633,3.136020195522904
10,-0.11,16.77,1.323,2.725190947534542
11,-0.115,14.922,0.983,2.205292384623017
12,-0.115,13.656,0.787,1.9759608793168015
13,-0.111,8.73,0.575,1.3740094756758547
14,-0.119,8.313,0.356,1.0509020684671324
15,-0.098,4.711,0.263,0.7560358576037626
16,-0.113,4.892,0.188,0.5924840973631854
17,-0.101,4.724,0.175,0.568942107032312
18,-0.111,4.012,0.137,0.44940041964058614
19,-0.11,2.038,0.099,0.26850750431691595
20,-0.11,0.863,0.069,0.14314919420842506
21,-0.121,0.773,0.062,0.15691414007224538
22,-0.121,0.776,0.022,0.12903284342879395
23,-0.124,0.367,-0.007,0.09128808914541671
24,-0.123,0.318,-0.028,0.08476267070588583
25,-0.122,0.164,-0.054,0.05875541706957859
26,-0.123,0.262,-0.064,0.06982558271752096
27,-0.124,0.362,-0.059,0.10062118318216735
28,-0.124,0.323,-0.062,0.09312886415893411
29,-0.124,0.285,-0.059,0.0906960681886312
30,-0.124,0.424,-0.061,0.09994342477093109
31,-0.124,0.433,-0.062,0.10159303960521554
32,-0.123,0.478,-0.063,0.09302891122186131
33,-0.124,0.505,-0.069,0.09499896396059081
34,-0.123,1.023,-0.027,0.17928247294089966
35,-0.124,1.035,-0.039,0.17041055992308393
36,-0.123,0.3,-0.065,0.08791135420059147
37,-0.124,0.626,-0.052,0.11538420570015961
38,-0.123,0.53,-0.063,0.10654314947915886
39,-0.124,0.369,-0.058,0.09346374116684185
40,-0.124,1.023,-0.051,0.15063136509243863
41,-0.124,1.145,-0.031,0.16710326194853092
42,-0.124,0.544,-0.055,0.11615996373683773
43,-0.124,0.919,-0.021,0.19444392296226023
44,-0.123,0.978,-0.022,0.18511075854434147
45,-0.124,0.532,-0.054,0.10372282285303996
46,-0.124,0.599,-0.056,0.13190130598175193
47,-0.123,0.716,-0.031,0.1585711360385734
48,-0.124,0.921,-0.01,0.18180390292821594
49,-0.124,0.463,-0.042,0.12357186134006726
