Iteration,Min,Max,Average,Std. Dev.
0,0.111,31.675,6.754,6.808124995885279
1,0.111,31.675,6.754,6.808124995885279
2,0.112,31.574,6.721,6.789827931528859
3,0.112,31.31,6.658,6.747786989175318
4,0.112,31.056,6.569,6.6847915853453825
5,0.112,30.422,6.447,6.584988060634353
6,0.107,30.159,6.312,6.493447258426179
7,0.099,29.339,6.167,6.36464096847086
8,0.088,28.09,6.024,6.226195603928109
9,0.078,27.979,5.856,6.093440907575897
10,0.062,27.193,5.68,5.938738733526841
11,0.061,26.579,5.507,5.788218047134967
12,0.058,25.738,5.338,5.683385330210181
13,0.057,24.55,5.154,5.530535886596155
14,0.056,22.402,4.936,5.292249886349873
15,0.052,21.457,4.744,5.131582975565723
16,0.046,21.236,4.539,4.930906623358235
17,0.044,21.137,4.312,4.733597460703415
18,0.035,20.617,4.086,4.548596251165885
19,-0.039,19.668,3.857,4.392374623739731
20,-0.082,18.379,3.685,4.214520031621678
21,-0.093,17.661,3.459,3.9906698590270975
22,-0.083,17.508,3.282,3.868555841371513
23,-0.081,17.262,3.059,3.6493108874276725
24,-0.076,16.679,2.836,3.453704418626546
25,-0.066,16.19,2.652,3.308427524001742
26,-0.072,15.796,2.466,3.203171248359483
27,-0.081,15.125,2.242,3.0273424517723955
28,-0.086,14.967,2.069,2.9326437284356754
29,-0.104,14.68,1.885,2.8257397078332285
30,-0.119,14.462,1.731,2.724316872385547
31,-0.116,14.303,1.576,2.5891126203282804
32,-0.099,13.51,1.426,2.410026010693399
33,-0.075,12.143,1.26,2.1360735177524077
34,-0.08,9.867,1.062,1.830460693227113
35,-0.124,9.789,0.94,1.733751305536786
36,-0.12,8.485,0.822,1.592686593127407
37,-0.119,8.097,0.715,1.4931472333855311
38,-0.12,7.827,0.63,1.432771932986097
39,-0.102,7.467,0.562,1.3734616145256429
40,-0.117,7.463,0.519,1.3312071432760446
41,-0.121,7.407,0.471,1.2465140048924284
42,-0.121,7.362,0.426,1.170956569798484
43,-0.121,7.336,0.392,1.132669051042437
44,-0.117,7.216,0.335,1.0397064167478844
45,-0.122,7.008,0.305,0.9970539276015722
46,-0.118,6.547,0.271,0.9191221012575654
47,-0.105,6.465,0.243,0.8729648286361322
48,-0.112,6.039,0.21,0.7993701045195509
49,-0.121,5.846,0.175,0.7329753813889283
50,-0.115,5.295,0.149,0.6629461645437711
51,-0.114,4.541,0.131,0.5808137755734184
52,-0.104,3.951,0.118,0.49485077351034223
53,-0.052,2.923,0.1,0.3705708159099431
54,-0.033,2.794,0.091,0.32286843490377676
55,-0.024,2.419,0.077,0.26291289272097945
56,-0.03,2.172,0.071,0.2364190607181103
57,-0.064,1.548,0.063,0.175999714445037
58,-0.07,0.694,0.051,0.09257429185484461
59,-0.068,0.6,0.044,0.06746740839541648
60,-0.052,0.541,0.041,0.06251982576406882
61,-0.036,0.462,0.038,0.0567422646916341
62,-0.05,0.323,0.032,0.04362480832279022
63,-0.1,0.313,0.023,0.040550828021881404
64,-0.081,0.15,0.016,0.0299145111791311
65,-0.083,0.303,0.008,0.042183508899568456
66,-0.092,0.389,-0.001,0.04663900271155675
67,-0.098,0.248,-0.01,0.03834635566537479
68,-0.094,0.122,-0.02,0.02979901750117568
69,-0.096,0.131,-0.028,0.028070582002059842
70,-0.12,0.131,-0.038,0.030213779433596627
71,-0.121,0.053,-0.05,0.023317684420855644
72,-0.111,0.039,-0.062,0.020517978035028445
73,-0.107,-0.002,-0.072,0.017399116166968293
74,-0.117,-0.002,-0.082,0.019014420850309372
75,-0.116,-0.044,-0.091,0.014067392444886613
76,-0.118,-0.047,-0.099,0.012828557946342665
77,-0.12,-0.062,-0.106,0.009814542794368572
78,-0.122,-0.075,-0.111,0.007485810850177568
79,-0.124,-0.077,-0.113,0.008625398415747396
80,-0.123,-0.079,-0.114,0.008266578443737157
81,-0.123,-0.084,-0.115,0.007741055931230706
82,-0.124,-0.089,-0.117,0.006238013490308157
83,-0.124,-0.085,-0.117,0.00729055447363115
84,-0.124,-0.087,-0.118,0.007252395974056798
85,-0.124,-0.083,-0.12,0.006055993465406212
86,-0.124,-0.092,-0.118,0.00731720674090864
87,-0.124,-0.085,-0.119,0.006195669400877857
88,-0.124,-0.08,-0.119,0.007523146741793888
89,-0.124,-0.074,-0.118,0.00945604015511198
90,-0.124,-0.083,-0.12,0.007257289649671937
91,-0.124,-0.077,-0.119,0.007595527138037079
92,-0.124,-0.069,-0.119,0.009825324509276367
93,-0.124,-0.074,-0.118,0.010194862088248463
94,-0.124,-0.082,-0.119,0.007501167684474987
95,-0.124,-0.082,-0.118,0.008637739054457064
96,-0.124,-0.075,-0.118,0.010033485568791913
97,-0.124,-0.069,-0.118,0.009735641611514403
98,-0.124,-0.081,-0.12,0.007095261107520337
99,-0.124,-0.081,-0.118,0.007889675775256117
