Iteration,Min,Max,Average,Std. Dev.
0,0.215,23.524,6.084,5.103618277713391
1,0.215,23.524,6.084,5.103618277713391
2,0.212,23.265,6.008,5.029630545536218
3,0.212,22.406,5.845,4.863719837307294
4,0.201,22.393,5.671,4.787671309836495
5,0.155,21.396,5.403,4.549012923138019
6,0.155,20.644,5.089,4.264861404589035
7,0.131,20.388,4.693,4.069487692865906
8,0.069,19.988,4.314,3.9841034610988837
9,-0.002,18.993,3.943,3.8374421164193366
10,-0.048,17.543,3.482,3.5647343911753313
11,-0.114,17.223,2.972,3.3669990849721487
12,-0.115,16.72,2.452,3.098857836456635
13,-0.121,16.159,1.906,2.724843253614508
14,-0.123,15.233,1.461,2.464723837615082
15,-0.123,13.104,1.111,2.147754928004388
16,-0.106,10.702,0.862,1.7959016126987237
17,-0.096,7.233,0.605,1.34602649061438
18,-0.1,6.191,0.407,1.1038391188411254
19,-0.109,5.99,0.306,1.0764360980723442
20,-0.1,5.394,0.292,1.0321088461783097
21,-0.107,5.181,0.257,1.0081377767612998
22,-0.108,4.833,0.167,0.7761835167778929
23,-0.116,4.641,0.103,0.6735434986522263
24,-0.11,2.91,0.079,0.447143666470613
25,-0.1,1.093,0.035,0.22673128611653545
26,-0.121,1.094,0.002,0.16794961600138036
27,-0.117,1.036,0.003,0.18223059951502507
28,-0.122,0.624,-0.019,0.14265211732023858
29,-0.116,0.655,-0.034,0.12337055296882721
30,-0.123,0.349,-0.053,0.0922789363976775
31,-0.122,0.304,-0.072,0.07084416453961147
32,-0.124,0.292,-0.068,0.08079033727209785
33,-0.121,0.082,-0.089,0.0464945405522423
34,-0.124,0.2,-0.045,0.08124612612290363
35,-0.124,0.177,-0.076,0.06694410064567569
36,-0.123,0.355,-0.053,0.09896785030601458
37,-0.124,0.305,-0.079,0.08081048629975429
38,-0.122,0.232,-0.063,0.08257114338965607
39,-0.123,0.299,-0.083,0.07854935413263318
40,-0.124,0.533,-0.065,0.1099266626591005
41,-0.124,0.565,-0.075,0.10386062024302711
42,-0.124,0.332,-0.073,0.0908573113254573
43,-0.124,0.724,-0.058,0.13173628529072193
44,-0.123,0.295,-0.057,0.10568176124393192
45,-0.124,0.286,-0.061,0.08865751029086591
46,-0.123,0.103,-0.085,0.04774052115455225
47,-0.122,0.249,-0.04,0.10433275933552938
48,-0.124,0.394,-0.051,0.11979688479983312
49,-0.123,0.72,0.002,0.1780832709936653
