Iteration,Min,Max,Average,Std. Dev.
0,1.639,19.734,9.093,6.119611718451688
1,1.639,19.734,9.093,6.119611718451688
2,1.6,19.725,8.95,6.04307807065308
3,1.479,19.472,8.587,5.834766633208575
4,1.43,19.33,8.092,5.524498174918156
5,1.411,18.862,7.777,5.248194120413211
6,1.341,18.496,7.365,4.96479739617188
7,1.089,17.946,6.886,4.68899345197202
8,0.869,17.599,6.549,4.59044092952821
9,0.666,17.238,6.322,4.531056881051008
10,1.024,16.211,6.114,4.198789706877205
11,1.635,13.741,5.762,3.3385915371196764
12,2.334,12.336,5.56,2.807752171500643
13,2.455,8.766,5.154,1.9199569120324969
14,3.061,8.698,5.141,1.777568201765949
15,3.439,8.169,5.07,1.591244333556679
16,4.097,7.772,4.948,1.3104695660621255
17,3.715,7.174,4.531,0.9774535157713418
18,2.605,6.902,4.285,1.0699462618609181
19,1.492,5.634,3.825,1.107917189484642
20,1.467,4.068,3.408,0.8304193914139445
21,1.561,3.485,2.505,0.6966679803117782
22,0.774,3.055,1.894,0.8223592377938846
23,0.312,2.821,1.509,0.778262909256158
24,0.378,2.063,1.125,0.49691033943942853
25,0.208,1.747,0.934,0.5241229541333436
26,0.24,1.319,0.701,0.3034117786713379
27,0.231,0.943,0.584,0.2673579239386072
28,0.081,0.745,0.359,0.20789657708028564
29,0.009,0.294,0.165,0.09521373228448501
30,-0.008,0.234,0.112,0.0893429539646882
31,-0.044,0.171,0.051,0.06842709767164332
32,-0.059,0.064,-0.001,0.04811183455618262
33,-0.115,0.05,-0.052,0.04779284357791339
34,-0.116,0.166,-0.068,0.08440116022618938
35,-0.118,0.122,-0.023,0.09650979068101528
36,-0.123,0.114,-0.062,0.07059733390027025
37,-0.123,0.021,-0.077,0.046720547004533576
38,-0.122,0.174,-0.08,0.0896594775628911
39,-0.121,0.186,-0.053,0.09237775940087395
40,-0.124,0.109,-0.08,0.0752823274316026
41,-0.123,0.251,-0.065,0.11390098633669514
42,-0.124,0.069,-0.091,0.06186292070305898
43,-0.119,0.035,-0.064,0.056676983934554996
44,-0.123,-0.053,-0.097,0.027195513930293555
45,-0.118,0.149,-0.043,0.09185024034622817
46,-0.119,0.023,-0.07,0.05057436269912193
47,-0.118,0.715,0.005,0.25435600660183283
48,-0.094,0.741,0.014,0.2590288357048068
49,-0.102,0.144,-0.055,0.07609270266128526
